county,pov,moe
Essex,22.087285431409416,7.7
Bennington,18.983523137289144,5
Windham,18.672831434244024,4.300000000000001
Caledonia,17.20718773695845,3.4000000000000004
Washington,17.129852378750492,3.2
Franklin,16.709711672876814,2.7
Orange,14.980315432925066,2.7
Orleans,13.578082692465344,2.4
Rutland,12.987899055629773,2.7
Windsor,11.525521377978214,3
Chittenden,11.290687486995697,1.7999999999999998
Lamoille,10.635921292297407,3.0999999999999996
Addison,8.928068190799033,2.1
Grand Isle,8.283112679381102,4.300000000000001
