county,pov,moe
Jefferson,22.29935044179073,7.3
Adams,21.6388167832984,7.400000000000001
Garfield,20.025812231998597,13.3
Wahkiakum,19.937085425881726,11.8
Lincoln,19.658532782928372,7.7
Okanogan,18.993738398226174,4.9
Ferry,18.849520082238165,6.3
Asotin,18.084544834958454,4.9
Mason,17.755549697667032,4.6
Grays Harbor,17.680105615168557,4.300000000000001
Klickitat,16.93878891379762,6.9
Pend Oreille,16.520167556897214,5.4
Yakima,16.481103247029125,2.4
Grant,16.37171382035028,3.7000000000000006
Stevens,16.284008479402704,4.5
Skagit,15.791740208685129,3.0999999999999996
Kittitas,15.653837094867203,4.8
Franklin,15.317838652274357,3.2
Pacific,14.94769808550503,4.2
Cowlitz,14.555271664956956,2.7
Clallam,13.927067807939725,3.4000000000000004
Lewis,13.62831984688682,2.9000000000000004
San Juan,13.614707414959227,3.4999999999999996
Benton,13.013100111006079,2
Chelan,12.971813133333827,3.2999999999999994
Whatcom,12.055968574476369,2.2
Spokane,11.787506131075151,1.5
Whitman,11.43269790498098,3.0999999999999996
Thurston,11.291398376802613,1.7999999999999998
Douglas,10.755569326498776,3.0999999999999996
Clark,10.75349841518393,1.3
Kitsap,10.672546412972464,1.5
Walla Walla,10.618109285551212,2.5
Skamania,10.152913148717316,4.300000000000001
Pierce,10.124323665100313,0.8
Columbia,9.855392667690586,5.2
King,9.096067360296583,0.658
Snohomish,8.819381842554796,0.8999999999999999
Island,7.144394556051403,2.2
