county,pov,moe
Menominee,25.699047907830252,10.7
Price,19.319757859305863,5.3
Crawford,18.50021573551626,5.699999999999999
Green Lake,18.473094348398455,5.599999999999999
Richland,18.46224420250439,5.500000000000001
Sawyer,18.20905703522977,5.2
Forest,18.055174668442987,5
Vernon,17.75607845653283,4.4
Ashland,17.709050122933235,4.5
Adams,17.680105615168557,4.300000000000001
Vilas,17.553650886603727,4.2
Barron,17.276323663290157,3.8
Clark,16.875513198321812,3.0999999999999996
Rusk,16.78278806113411,4.4
Iron,16.728692252405356,4.8
Bayfield,16.626493302128633,3.8
Door,16.626176665468424,4.9
Washburn,16.231514685870785,3.2
Langlade,16.226077252926746,4.7
Milwaukee,16.07656488377812,1.2
Waushara,16.045247539383112,3.0999999999999996
Jackson,15.933967514126374,3.0999999999999996
Grant,15.768400749605302,3
Monroe,15.678498698987148,3.0999999999999996
Douglas,15.674614653917859,3.4000000000000004
Marquette,15.624917571953404,3.4000000000000004
Lafayette,15.431715544899896,3.4999999999999996
Juneau,15.428576101170943,2.4
Racine,15.422435781219502,2.2
Florence,15.380662171891132,4.4
Kenosha,15.241860958680785,2.4
Burnett,15.236077271837479,2.7
Pepin,15.101745676086898,3.9
Oneida,15.074239824278498,3.4999999999999996
Chippewa,15.02024158868848,2.7999999999999994
Marinette,14.946871573429291,3.5999999999999996
Lincoln,14.916310548020032,2.9000000000000004
Fond du Lac,14.851746972068932,2.9000000000000004
Manitowoc,14.800452661252464,2.4
Rock,14.557759654723679,1.7999999999999998
Winnebago,14.326781236808284,2
Shawano,13.98126757032304,2.1
Wood,13.935968630149429,2.2
Polk,13.88516020596512,2.3
Sauk,13.685986807804978,2.2
Waupaca,13.443293344756215,2.3
Eau Claire,13.273871840446603,2.5
Brown,13.180902847588857,1.5
Taylor,13.150393358751481,2.3
Walworth,13.11625275278818,2.1
Sheboygan,12.831534546176487,2.3
Buffalo,12.783573815841745,2.7
Dodge,12.718411475041242,2.3
Portage,12.606180340345501,2
Jefferson,12.60135612475987,2.3
Marathon,12.47140039626389,1.6
Dunn,12.039703833949249,2.4
Columbia,11.98485535776898,2.2
Iowa,11.973307554930981,1.7999999999999998
Pierce,11.504185014526039,2.7999999999999994
Green,11.453383073019378,2.3
Dane,11.223135323318031,1.1
Oconto,11.199969411638985,1.7999999999999998
Kewaunee,11.087487728956015,2.6
Outagamie,10.992232375108207,1.3
Trempealeau,10.73756996294361,1.6
Calumet,10.137665708070788,1.6
La Crosse,9.989907965760668,1.7999999999999998
St. Croix,9.573087999507804,1.6
Waukesha,8.93206070955748,0.8999999999999999
Washington,8.541381740636094,1.3
Ozaukee,7.633767086485033,1.5
