county,pov,moe
Niobrara,36.07777095834748,22.900000000000002
Hot Springs,27.043470516939706,14.100000000000001
Johnson,23.843421364781904,11.1
Albany,20.790536154727903,8.7
Converse,20.193382910490467,8
Carbon,19.009627730152808,6.1000000000000005
Big Horn,18.799359273059586,6
Platte,17.311858183690852,11.199999999999998
Fremont,17.051662583876663,3.2
Sweetwater,14.999892388000596,4.5
Sublette,13.124959795038048,7.3
Park,12.66346306428933,4.4
Weston,11.981855584017783,7.7
Laramie,10.698236830943832,3
Goshen,9.870335260538427,5.1
Natrona,9.519779223924814,2.9000000000000004
Teton,9.106881376016315,5.800000000000001
Campbell,8.209187866744724,3
Lincoln,7.529524478033419,3.4999999999999996
Washakie,7.299563828085424,5.9
Sheridan,7.094237575630386,3.5999999999999996
Uinta,6.22493263667059,4.5
Crook,5.056060415998948,1.3999999999999997
