county,pov,moe
Lake and Peninsula Borough,22.011583038030036,10.3
Wrangell,21.560550507219784,9.8
Southeast Fairbanks Census Area,19.57048245142421,6.999999999999999
Yukon-Koyukuk Census Area,19.244603447525172,5.4
Kusilvak Census Area,19.199638000033683,5.2
Prince of Wales-Hyder Census Area,18.12025237543498,4.7
Denali Borough,17.74554668263492,13.100000000000001
Dillingham Census Area,17.50183653640832,3.8
Bethel Census Area,17.390113882373488,3
Aleutians East Borough,17.373272369527,6.599999999999999
Nome Census Area,17.362713346160145,3.4999999999999996
Northwest Arctic Borough,17.33400289032934,3.4000000000000004
North Slope Borough,15.885967609844126,6.1000000000000005
Kenai Peninsula Borough,15.122857484045044,3.5999999999999996
Yakutat,15.1115559310809,10.900000000000002
Aleutians West Census Area,14.426715851597995,5.500000000000001
Valdez-Cordova Census Area,13.670445725279814,2.6
Sitka,12.77323219447522,4.9
Hoonah-Angoon Census Area,12.707956987547334,4.300000000000001
Bristol Bay Borough,12.19952832862425,6.999999999999999
Matanuska-Susitna Borough,11.804868135140294,1.7000000000000002
Anchorage Municipality,11.531382054912594,1.7999999999999998
Ketchikan Gateway Borough,11.248481870120862,3.5999999999999996
Kodiak Island Borough,10.017846519346186,3.0999999999999996
Petersburg Borough,9.184972792539652,4.1000000000000005
Juneau,8.814048413971582,2.5
Skagway Municipality,8.077038801889163,4.9
Fairbanks North Star Borough,7.533697704148255,1.6
Haines Borough,5.974808068335653,1.3
