county,pov,moe
Greene,25.429385877793564,13.4
Perry,25.29357487245515,13.199999999999998
Conecuh,25.114996962093127,13
Hale,24.72784225365377,12.5
Wilcox,24.12498681876707,11.700000000000001
Bullock,24.10497765806905,11.700000000000001
Lowndes,22.858405065821337,10.1
Sumter,22.177340062620257,9.2
Marengo,21.604893933824318,8.5
Fayette,21.45465786565248,8.3
Monroe,21.304924130655404,8.200000000000001
Bibb,21.299413719763578,8.1
Pickens,21.221889319949504,8
Macon,20.829606921779316,7.500000000000001
Coosa,20.7303044954219,10.8
Dallas,20.599192789854424,7.199999999999999
Choctaw,20.57571884936972,7.199999999999999
Butler,20.51658047833315,7.1
Russell,20.51196737396325,7.1
Franklin,20.406734673152478,7.199999999999999
Clarke,19.401328920962712,5.699999999999999
Geneva,19.320556198853296,5.699999999999999
Barbour,19.19676134443117,5.4
Pike,19.10713968620663,5.3
Escambia,19.057612996277932,5.4
Chambers,18.925561801420756,5.1
Colbert,18.619772986244808,5.4
Jackson,18.526417038833547,4.9
Dale,18.492432549761123,4.6
DeKalb,18.40240750432529,4.4
Covington,18.375689284447436,4.8
Tallapoosa,18.359012542706445,4.9
Talladega,17.97091740669637,4.1000000000000005
Randolph,17.945819841648905,6.1000000000000005
Clay,17.373251295013308,7.6
Montgomery,17.049577266869708,2.7
Winston,16.956074772751013,6
Marshall,16.53817931078531,3.2999999999999994
Coffee,16.432244855963095,3.4999999999999996
Houston,16.084790334368222,2.2
Mobile,15.560266008373254,1.7000000000000002
Etowah,13.793391376792144,2.9000000000000004
Lawrence,13.415971372642446,6.999999999999999
Calhoun,13.097572970166718,2.9000000000000004
Washington,12.14896211587608,6.7
Jefferson,11.678115766367965,1.7000000000000002
Walker,9.935843890722328,4
Henry,9.277096242872096,5.2
Tuscaloosa,7.498216980409819,2.7999999999999994
Marion,7.362622545480961,6.199999999999999
Cleburne,6.621479615885993,7.6
Crenshaw,5.503439616325063,6.5
Cherokee,4.532126527365053,4.9
Lauderdale,3.7435165510045914,2.9000000000000004
Morgan,3.292858739263039,2.9000000000000004
Blount,2.940614604076462,3
Lamar,2.8557625012014176,8.7
Lee,2.4595469384464987,3.2
Chilton,2.3203302943685866,4.2
Cullman,2.1937624098305943,3.0999999999999996
Limestone,2.119159268022002,3.2999999999999994
St. Clair,2.0685605570020122,3.4000000000000004
Madison,2.033040320367539,1.7000000000000002
Autauga,2.016897664878967,3.4999999999999996
Elmore,2.0062568555837315,2.9000000000000004
Baldwin,2.001532649411971,1.9
Shelby,2.000113555702771,1.5
