county,pov,moe
Nevada,25.729030751908393,10.899999999999999
Searcy,24.190417939889187,12.8
Lee,23.495516850349933,10.899999999999999
Monroe,22.118039479461878,11
Dallas,21.5513720942888,13.900000000000002
Chicot,21.54450046803067,9.7
Desha,21.43064712245476,8.6
Lincoln,20.411868851922925,10.3
Drew,20.12579366620728,9.4
St. Francis,20.027661733802567,7.6
Phillips,19.9603552275301,6
Lafayette,19.90150924121923,8.6
Conway,19.870184777054707,8.4
Ashley,19.77721156698386,8.1
Franklin,19.678571278542623,9.7
Izard,19.629949296603222,8.9
Howard,19.577800578505208,9
Ouachita,19.56374573371553,8.6
Woodruff,19.52590549218517,8.7
Cleveland,19.44093891524923,9.9
Scott,19.248028885724505,8.5
Stone,19.093428026971647,7.6
Columbia,19.041575147218044,6.199999999999999
Jackson,19.00970344879629,7.5
Hot Spring,18.971280352489984,6.9
Hempstead,18.958863404389884,6.3
Randolph,18.912131228834866,7.000000000000001
Clark,18.90750504891216,7.400000000000001
Sevier,18.89718998043323,7.200000000000001
Clay,18.826499455714004,7.000000000000001
Madison,18.67160130949803,6.800000000000001
Cross,18.62378586062962,6.5
Perry,18.549074823321924,8.3
Newton,18.503813345468185,8.8
Sharp,18.471508881767054,7.5
Johnson,18.43747940145564,5.9
Crawford,18.24765831702769,6
Van Buren,18.22696811629418,7.1
Montgomery,18.1974630392299,7.6
Polk,18.082959420848493,6.199999999999999
Poinsett,18.072854680760706,5.3
Lawrence,18.071710677622313,6.1000000000000005
Fulton,18.011316273372653,7.5
Mississippi,17.776170113176782,4.8
Grant,17.764448762076448,6.5
Independence,17.73292591114965,5.4
Marion,17.679388800166404,6.3
Little River,17.65772946656511,6.3
Logan,17.650664430819088,6.1000000000000005
Jefferson,17.56289683310364,4.7
Greene,17.53639047747454,4.9
Cleburne,17.443883300446423,5.700000000000001
Bradley,17.43557955708329,6.1000000000000005
Carroll,17.332837685134916,5.5
Pike,17.316380586624277,5.9
Baxter,17.296618971571203,5.4
Arkansas,17.282231043979856,5.700000000000001
Miller,17.281583524175055,4.6
Union,17.159404946711714,4.5
Calhoun,17.13401165016531,6.3
Crittenden,17.11741372048307,4
Prairie,16.81806834357733,5.700000000000001
Craighead,16.76434054588534,3.4000000000000004
Garland,16.74918836471009,3.5000000000000004
Yell,16.73198791064048,4.5
Boone,16.66819301253037,4.5
Pope,16.636906493001717,3.5000000000000004
White,16.39970261108095,3.3000000000000003
Pulaski,16.296122734215793,2.6
Sebastian,16.211165158704336,2.7
Lonoke,16.17118366927852,3
Faulkner,16.02588673454064,2.7999999999999994
Saline,15.794226848106064,2.2
Washington,15.787429983140989,2
Benton,15.579417750313777,1.7000000000000002
