county,pov,moe
Apache,22.139011123031235,3.2
La Paz,21.34439455217598,8.200000000000001
Navajo,20.63901112303124,2.7
Santa Cruz,19.322588379506108,5.599999999999999
Gila,19.289011123031237,5.3
Mohave,17.51144891280099,3.2999999999999994
Graham,17.44018876139937,4.4
Yuma,16.98377453112373,2.7
Cochise,16.938116482591052,2.9000000000000004
Pima,13.79047642251614,1.3
Yavapai,11.671120839130111,2.9000000000000004
Maricopa,7.221834083385457,0.658
Pinal,5.017417784542798,1.5
Coconino,4.181455540223069,2.5
Greenlee,4.0101503415114514,8.3
