county,pov,moe
Apache,24.246782849978533,3.2
La Paz,19.670727472535372,8.2
Gila,19.1308476428307,5.3
Navajo,18.476262395712045,2.7
Santa Cruz,18.412583428097268,5.599999999999999
Mohave,16.854174524626167,3.3000000000000003
Graham,16.514554123381433,4.4
Yuma,16.401867451506007,2.7
Greenlee,16.27959232773832,8.3
Cochise,16.01574784768931,2.9000000000000004
Yavapai,15.672540219925379,2.9000000000000004
Coconino,15.439318198192606,2.5
Pima,15.417388112179689,1.3
Pinal,15.271260017457031,1.5
Maricopa,15.110454114650873,0.6
