county,pov,moe
Sierra,26.241341924444605,18.1
Trinity,24.702027237103525,12.3
Modoc,23.69929244111468,13.3
Mariposa,23.120379606893778,9.6
Alpine,19.721949206100263,10
Mono,18.78776999337953,7.6
Glenn,18.658278779028077,6
Tehama,17.899432787155785,4.6
Siskiyou,17.889981077796442,4.9
Madera,17.883799297825206,3.7000000000000006
Plumas,17.76429348877735,5.9
Del Norte,17.712757408626995,5.3
Calaveras,17.562043331587116,5.2
Inyo,17.420445473435294,6
Imperial,17.378268134606067,3.0999999999999996
Mendocino,17.32455518382204,4
Lake,17.249501599503798,3.8
Lassen,17.202064304619245,4.7
Colusa,17.102026727542093,4.4
Kings,17.031961579706902,3.2
Yuba,16.96730302278707,3.5000000000000004
Sutter,16.78014618684799,3.4000000000000004
Merced,16.69175720470592,2.4
Humboldt,16.49982568916129,2.6
Tuolumne,16.411926526170586,3.5000000000000004
San Benito,16.360076700913986,3.4000000000000004
Butte,16.217877058445673,2.3
Yolo,16.13053233819477,2.5
Tulare,16.082184126583662,1.6
Nevada,16.052840376930227,2.7
Monterey,16.05109323502838,2
Fresno,16.04107896396303,1.3999999999999997
Kern,16.001936271818167,1.3999999999999997
Shasta,15.859204577028024,1.9
San Luis Obispo,15.813610307047654,2
Santa Cruz,15.7966693912884,2
Amador,15.765502460453613,2.4
Stanislaus,15.744103930708588,1.3999999999999997
Napa,15.736909755457395,2
El Dorado,15.721934128039502,1.9
Santa Barbara,15.655934048184456,1.3999999999999997
Solano,15.569527214933357,1.3999999999999997
Sacramento,15.565161239677563,1.1
Sonoma,15.54124580936136,1.3999999999999997
San Joaquin,15.515730126993915,1
Marin,15.437143924829433,1.3
San Bernardino,15.431619767973567,0.8
Ventura,15.422255070541189,1
San Francisco,15.36519047358286,1
Placer,15.364670308947026,1.1
Contra Costa,15.346446133343324,0.9000000000000001
Riverside,15.326686789908125,0.6999999999999998
San Mateo,15.292699402801619,0.9000000000000001
Alameda,15.261360065697064,0.6999999999999998
Orange,15.242044547343529,0.6
San Diego,15.213732876121727,0.5
Los Angeles,15.21180470581664,0.4
Santa Clara,15.19513293520108,0.6
