county,pov,moe
San Juan,49.99974680150905,31.6
Jackson,38.56992610094688,24.3
Huerfano,27.31460240692926,15.8
Hinsdale,24.600676691522388,30.099999999999998
Bent,24.542405954038728,13.5
Gilpin,23.498384111027242,18.5
Costilla,22.269206750661297,12.9
Saguache,21.424716766179326,11.9
Sedgwick,21.13430258999753,11.700000000000001
Otero,20.264541566218377,6.800000000000001
Baca,20.238958973110517,9.1
Dolores,20.207948137056224,12.200000000000001
Las Animas,20.176534903502034,9.2
Yuma,19.71549561982206,9.2
Rio Blanco,19.587744741424796,9.4
Mineral,19.239627795860333,10.7
Cheyenne,19.014738976231797,8.9
Phillips,18.978914527493377,8.8
Prowers,18.974560805878326,7.8
Alamosa,18.53183483046855,7.6
Kiowa,18.49650807899101,7.7
Logan,18.42782370819066,7.400000000000001
Delta,18.382168178239095,6.199999999999999
Rio Grande,18.359437054287383,8
Gunnison,18.072991273237125,7.9
Crowley,18.054375162523804,6.5
Conejos,18.05027025753958,6.1000000000000005
Park,17.999275237030236,7.3
Moffat,17.95696337728808,6.5
Lake,17.94481930080915,7.6
Montezuma,17.603572727624133,5.800000000000001
Morgan,17.318110750932377,4.9
Fremont,17.29692579080569,4.5
Lincoln,17.28317032279539,5.700000000000001
Montrose,17.27708800157331,4.9
Pitkin,17.25304587610205,5.9
Washington,17.125187763065703,5.1
Chaffee,17.02398919930834,4.9
Grand,16.986500851729254,5.3
Kit Carson,16.98278320631486,4.7
Archuleta,16.981131367219522,5
Eagle,16.9129575937364,4.7
Custer,16.865631867920115,5.1
San Miguel,16.863022179926155,4.9
Clear Creek,16.788942038392605,4.9
Summit,16.78868555841856,4.8
La Plata,16.633023887865185,3.4000000000000004
Pueblo,16.627869055587993,3
Mesa,16.45609036856405,3.2
Teller,16.41592816253122,3.8
Garfield,16.24051231565851,3.0999999999999996
Routt,16.02964252308075,2.7999999999999994
Larimer,15.801260618676535,2
Elbert,15.711757197277151,2
Denver,15.70930379913863,1.5
Broomfield,15.702234443774021,1.9
Ouray,15.699764909283326,2.1
Adams,15.63108076638034,1.3999999999999997
Weld,15.60191172075977,1.3999999999999997
El Paso,15.55388200930736,1.3
Jefferson,15.421337966146794,1.1
Boulder,15.41919066506791,1.1
Arapahoe,15.374033455037928,0.9000000000000001
Douglas,15.135508033837922,0.4
