county,pov,moe
Franklin,31.61972770466801,14.100000000000001
Hardee,28.80722770466801,9.2
Gadsden,26.27597770466801,6.199999999999999
Lafayette,24.771012065130975,13.5
Glades,24.060647281858746,11.8
Taylor,23.16394508036719,11.5
Dixie,22.59912996110143,10.4
DeSoto,22.045892711541274,9.1
Hamilton,22.00849362599146,9.1
Washington,21.98666656562845,9.2
Madison,21.678885315452646,8.7
Calhoun,21.352438102886882,8.600000000000001
Union,21.300482290887636,10.1
Liberty,21.066241665024098,8.3
Sumter,20.63526409588735,7.3
Jefferson,20.601732874941618,7.500000000000001
Bradford,20.402148064241437,7.6
Jackson,19.94515900262494,6.599999999999999
Hendry,19.94465814567676,6.7
Holmes,19.911076723022518,8.4
Okeechobee,19.772060242760457,6.3
Putnam,19.61243307421561,6
Levy,18.805404199409153,5.800000000000001
Highlands,17.322213300306217,4.2
Citrus,17.229271579792528,3.8
Suwannee,16.8440645700072,4.8
Baker,16.813751412236666,6.199999999999999
Escambia,16.10553941727682,2.4
Columbia,15.667424684274103,4
Polk,15.181271317442354,1.3999999999999997
Marion,15.17422559576264,1.9
St. Lucie,15.16706063280375,2.6
Duval,14.683116076380962,1.3999999999999997
Leon,14.048552532390401,2.2
Charlotte,13.863166092227045,3.2999999999999994
Miami-Dade,13.853796448243088,0.8999999999999999
Martin,13.566232920950009,4
Osceola,13.408473678655541,2
Walton,13.39487434784243,4.4
Orange,13.13320602121654,1.1
Hillsborough,12.275276396335233,1
Bay,11.647509003786471,2.4
Lee,11.58163295535036,1.5
Indian River,11.481999862516892,2.9000000000000004
Alachua,11.030321576467811,2.7999999999999994
Pasco,10.142072646065472,1.6
Hernando,9.755390010053116,2.7999999999999994
Broward,9.526482897798756,1
Collier,9.1637217303394,2.3
Gulf,8.499451552739156,6.9
Palm Beach,8.39521885533194,1.1
Volusia,8.166869761533269,1.7000000000000002
Manatee,7.8903131204823245,2.2
Okaloosa,7.180003147093644,2.6
Lake,6.781780362929118,2.5
Flagler,6.508069235942368,3.0999999999999996
Monroe,6.217153310299143,3.5999999999999996
Pinellas,5.621752240686691,1.2
Clay,5.517193024854406,3.0999999999999996
Brevard,5.157340955640064,2
Gilchrist,5.114235678111108,5.4
Nassau,4.786649110201919,3.8
Sarasota,4.520860355432183,2
Seminole,4.342100947002212,1.2
Santa Rosa,4.226207945649738,2.1
St. Johns,4.112352824032905,1.6
Wakulla,4.03509566288343,3.5999999999999996
