county,pov,moe
Hancock,33.244535968784284,22.900000000000002
Webster,32.208186578750755,25.1
Clay,30.64757764827828,23.6
Quitman,30.40274149491494,23.5
Treutlen,29.14867815841724,18
Clinch,25.844664063358614,15.9
Telfair,24.529947769307203,11.8
Warren,24.12199715810453,13.600000000000001
Randolph,23.80704339897168,13.3
Pulaski,23.741612819667,13.100000000000001
Calhoun,23.70836172488654,13
Lanier,23.547710620178357,12.5
McIntosh,23.253296909103476,12.399999999999999
Brooks,23.151500594008205,12.200000000000001
Early,22.531567093434575,11.199999999999998
Irwin,22.256751625549327,11.1
Screven,22.253253425832256,10.8
Taylor,22.146446328621078,10.6
Miller,22.133282341809124,10.8
Wilkinson,21.979720845829004,10.5
Jeff Davis,21.974341802874932,10.6
Appling,21.921173530374546,10.2
Crisp,21.53085650327212,9.6
Charlton,21.355635038201715,9.5
Terrell,21.315537232655863,9.2
Lincoln,21.306893099283467,9.5
Dooly,21.28300088690103,9.2
Wilcox,21.084289061644263,9.2
Atkinson,20.888422252907986,8.600000000000001
Mitchell,20.789989513640922,8.5
Ben Hill,20.571254526874156,8.200000000000001
Grady,20.145221040512627,7.8
Sumter,20.092823303015546,7.8
Decatur,20.069476803102745,7.500000000000001
Tift,19.856434083910113,7.400000000000001
Meriwether,19.468383334660313,6.800000000000001
Elbert,19.34807745463601,6.599999999999999
Colquitt,18.972626442981177,5.9
Ware,18.915353545065386,5.800000000000001
Stewart,18.40989960593603,18.1
Laurens,18.19892599258853,4.8
Dougherty,18.11328418204816,4.6
Madison,17.97592428618453,8.8
Bibb,17.91399376427229,4.300000000000001
Macon,17.86833795107368,7.500000000000001
Candler,17.662832269880653,10.1
Butts,17.61060474708611,7.6
Talbot,17.506985007615256,11.5
Upson,17.379212041123086,7.9
Johnson,17.363402893921805,12
Wheeler,17.35636229594549,14.800000000000002
Richmond,17.160173357839874,3.2999999999999994
Bacon,17.045032894135623,9.2
Wilkes,17.02393146619089,11.000000000000002
Jefferson,16.948269202641598,7.6
Worth,16.83562881462302,7.1
Franklin,16.80260054628466,9.3
Peach,16.672059909477138,7.3
Berrien,16.398735470868136,6.999999999999999
Glascock,16.222928973927594,17.6
Jenkins,16.168222993087234,14.7
McDuffie,15.784224811435783,7.400000000000001
Toombs,15.71031865303651,6.9
Putnam,15.654852798627825,8.9
Emanuel,15.639484224657958,7.3
Spalding,15.624446384848456,5.800000000000001
Evans,15.435004599342228,8.1
Baker,15.158810185925098,13.4
Turner,15.052650389718117,10.3
Chattooga,15.022273040874301,5.2
Coffee,14.95875101516192,6.4
Cook,14.874565640536307,7.500000000000001
Greene,14.73041009708054,7.7
Glynn,14.664408911151098,5
Burke,14.55700081392235,8
Towns,14.431408988015415,8.4
Dodge,13.930504802924995,6.7
Wayne,13.919623129866407,6
Thomas,13.877552402575313,4.9
White,13.795955729404108,8.600000000000001
Tattnall,13.348946250069316,7.400000000000001
Union,13.319671073228134,9
Troup,13.25620414444512,5.4
Echols,13.220226753780583,11.600000000000001
Gilmer,13.058827664796366,8.1
