county,pov,moe
Adair,11.0,5.4
Adams,5.4,4.3
Allamakee,14.8,4.3
Appanoose,22.1,7.6
Audubon,19.5,9.4
Benton,7.2,1.9
Black Hawk,18.1,2.8
Boone,7.6,2.8
Bremer,7.4,2.9
Buchanan,9.6,3.2
Buena Vista,6.4,2.1
Butler,16.3,5.1
Calhoun,8.7,3.4
Carroll,5.5,2.1
Cass,24.0,6.6
Cedar,10.6,3.6
Cerro Gordo,11.5,3.6
Cherokee,20.1,8.3
Chickasaw,3.9,2.3
Clarke,26.5,12.3
Clay,18.3,5.2
Clayton,14.9,5.1
Clinton,16.5,3.7
Crawford,25.8,7.9
Dallas,5.6,1.8
Davis,13.5,9.0
Decatur,16.6,7.0
Delaware,5.2,2.4
Des Moines,19.9,4.3
Dickinson,6.4,2.8
Dubuque,11.0,2.7
Emmet,20.4,7.6
Fayette,12.5,3.9
Floyd,14.7,5.5
Franklin,23.6,7.9
Fremont,7.1,3.7
Greene,13.2,5.5
Grundy,7.9,2.9
Guthrie,15.3,4.2
Hamilton,9.4,3.6
Hancock,9.5,4.5
Hardin,11.1,3.9
Harrison,9.2,3.2
Henry,15.7,4.4
Howard,9.8,5.2
Humboldt,19.4,7.7
Ida,9.9,4.2
Iowa,11.8,5.1
Jackson,12.2,4.3
Jasper,9.3,2.9
Jefferson,13.6,7.7
Johnson,11.4,2.4
Jones,13.9,5.4
Keokuk,13.2,4.0
Kossuth,14.2,4.1
Lee,18.9,4.4
Linn,11.7,1.6
Louisa,13.0,4.4
Lucas,23.1,7.8
Lyon,2.5,1.6
Madison,8.4,4.2
Mahaska,13.1,4.3
Marion,8.1,3.1
Marshall,15.2,4.0
Mills,6.7,3.2
Mitchell,3.6,2.4
Monona,15.5,5.8
Monroe,11.9,7.3
Montgomery,20.8,7.8
Muscatine,16.0,4.2
O'Brien,14.4,5.8
Osceola,26.2,10.2
Page,16.2,5.9
Palo Alto,17.2,8.1
Plymouth,5.8,3.1
Pocahontas,8.1,4.1
Polk,13.7,1.4
Pottawattamie,15.6,3.1
Poweshiek,7.2,3.5
Ringgold,14.7,7.2
Sac,11.9,4.5
Scott,15.6,1.9
Shelby,5.6,2.7
Sioux,6.0,2.6
Story,8.6,2.5
Tama,22.6,4.4
Taylor,6.2,3.0
Union,13.7,5.2
Van Buren,13.5,5.9
Wapello,24.4,5.3
Warren,6.6,2.1
Washington,8.6,3.7
Wayne,19.4,7.1
Webster,15.7,3.9
Winnebago,7.5,3.4
Winneshiek,11.2,5.0
Woodbury,18.2,2.8
Worth,10.4,5.1
Wright,19.9,5.5
