county,pov,moe
Butte,28.761010093930395,13.8
Lewis,27.261010093930395,4.9
Custer,26.24216799535628,14.800000000000002
Boundary,25.911010093930393,10.900000000000002
Boise,23.417095730451905,10.900000000000002
Lincoln,23.37091748775727,10.8
Valley,22.825354104996315,12
Washington,21.34819275177836,8.200000000000001
Gooding,20.559469574859627,7.199999999999999
Benewah,20.33712656995334,6.999999999999999
Jerome,20.023876359785145,6.5
Minidoka,20.02285271183868,6.5
Owyhee,19.86771706162257,6.3
Shoshone,19.62949380557553,6
Gem,19.384494216834675,5.699999999999999
Fremont,18.720295691134414,5.3
Nez Perce,18.593234558936935,4.8
Adams,18.57587137170248,9.1
Twin Falls,18.268182105922662,4.300000000000001
Madison,18.149999774022497,4.4
Oneida,18.087625845895634,6.999999999999999
Clearwater,18.031718120271016,6
Bonner,17.499354968737794,3.9
Bannock,16.614395688927882,3
Bear Lake,15.284968010473884,5.4
Elmore,13.349481732877907,3.9
Power,12.769935072821523,9
Cassia,12.31614538360691,4.300000000000001
Bingham,9.273165296659883,3.0999999999999996
Canyon,7.759816672783229,1.7000000000000002
Bonneville,6.930193763437333,2.4
Payette,6.475464817031263,5.3
Kootenai,5.449011016141854,2.3
Blaine,5.19963604241163,6.199999999999999
Latah,4.690041082685589,4
Jefferson,4.409777930501794,3.2
Teton,4.294887346830426,6.800000000000001
Lemhi,4.153280280836923,5.1
Franklin,4.081292435329118,5.1
Ada,4.031451417207464,1.2
Camas,4.021616556900626,10.5
Idaho,4.005630079946181,4.4
Clark,4.001658199425568,9.6
Caribou,4.000080083938681,3.9
