county,pov,moe
Johnson,25.395542004361182,10.7
Pope,25.238612893604817,11.700000000000001
Pulaski,25.02333563761011,9.1
Warren,20.21972041059199,9.700000000000001
Alexander,19.53597116170046,10.3
Perry,19.37755297633432,8
Union,19.244404606523148,7.8
Gallatin,18.7673659372366,7.199999999999999
Scott,18.74664348433778,9.2
Bond,18.420261604172815,6.5
Coles,17.65357440183903,5.1
Jackson,17.59741582225888,4.8
Lawrence,17.546566181821483,7.199999999999999
Franklin,17.43411461322092,4.6
Clay,17.377653867976388,6.599999999999999
Hamilton,17.2776351881227,7.9
Stark,17.158491383495356,8.600000000000001
Vermilion,17.08695191611881,3.9
Fayette,16.959604845131874,6.1000000000000005
Hardin,16.894738854098286,8.7
Wayne,16.890882514651963,5.800000000000001
Marion,16.733965554361603,4.2
Hancock,16.72104742332339,5.800000000000001
Saline,16.65517632496204,4.8
Mason,16.598183064694684,6.800000000000001
White,16.53968415965196,6.599999999999999
Montgomery,16.454322883617596,6.7
Edgar,16.45351290747331,6.1000000000000005
Greene,16.21222553361851,5.1
Winnebago,16.117471358808547,2.1
Massac,16.10673398775435,6.599999999999999
Schuyler,16.10458186141205,8.8
Carroll,16.03620559829972,6.1000000000000005
McDonough,15.994259773791535,4.8
Wabash,15.991419981268223,6.199999999999999
Fulton,15.990402077471122,4.4
LaSalle,15.834676688234401,3.0999999999999996
Jefferson,15.80822493406639,3.4999999999999996
Macoupin,15.709259566947711,4.1000000000000005
Stephenson,15.699298045114817,4.7
De Witt,15.667321366536555,6
Rock Island,15.611910500823889,2.6
Peoria,15.56130482421029,2.7999999999999994
Edwards,15.49645344021162,6.1000000000000005
Macon,15.430728629812423,3.2
Whiteside,15.372601625570937,4.5
DeKalb,15.305378772206579,3.8
Henderson,15.209968570521127,6.5
Morgan,15.19999237974265,3.8
Knox,15.106603006846072,3.5999999999999996
Marshall,14.925850620875867,4.4
Effingham,14.924797010813979,4.9
St. Clair,14.854229764498669,2.3
Jasper,14.789573284706197,7.199999999999999
Williamson,14.743381375591582,4
Richland,14.541398109739367,4.9
Lee,14.538302041319442,5.3
Bureau,14.454793802583781,3.4999999999999996
Adams,14.380308446191234,4
Ford,14.267955416794292,4.1000000000000005
Kankakee,14.190848016981949,2.3
Randolph,14.147191036125614,4.2
Christian,13.95122719868423,4.8
Logan,13.943205681825699,4.300000000000001
Pike,13.934506107603422,4.2
Sangamon,13.888751814693398,2.4
Cass,13.851642107394168,5
Calhoun,13.847801011452715,5.500000000000001
Moultrie,13.443720155225842,4.7
Boone,13.376204457353772,4
Putnam,12.784697347741941,4.5
Livingston,12.54558007968013,3.2999999999999994
Washington,12.486170061275423,5.2
Champaign,12.233246656606383,2.6
Douglas,12.133858323081428,4
Brown,12.017907682892432,5.4
Henry,12.002745423647687,3.2
Ogle,11.998039787693468,3.4999999999999996
Cook,11.998004256858438,0.658
Shelby,11.930928531800209,3.9
Menard,11.573580084085366,4.4
Madison,11.486281028487893,1.5
Cumberland,11.47042867440997,4.1000000000000005
Jersey,11.31750597134626,5.2
Iroquois,11.15659263116263,2.7999999999999994
Mercer,10.773923457444722,3.5999999999999996
Kane,10.505477241822822,1.1
Tazewell,10.397342727222975,2.2
Jo Daviess,9.893620782049695,2.7999999999999994
McLean,9.847336161535015,1.6
Clark,9.762911311304254,3.5999999999999996
Crawford,9.752449810665386,3.2999999999999994
Lake,9.704872555400145,1.1
Piatt,9.238293482182696,4.4
Will,8.852667113878232,0.8999999999999999
Clinton,8.672361618849942,2.4
McHenry,8.599512662563633,1.7999999999999998
Grundy,8.594239396250877,2.7
Woodford,7.877825766340808,3.2
DuPage,7.4668604167994115,0.6999999999999998
Kendall,7.05730258937845,2.2
Monroe,6.301793758523119,2.3
