county,pov,moe
Adams,14.8,4.5
Allen,16.9,1.5
Bartholomew,14.0,2.9
Benton,20.0,5.9
Blackford,19.5,8.9
Boone,4.7,1.9
Brown,9.9,5.6
Carroll,10.9,4.5
Cass,17.3,4.0
Clark,12.7,2.3
Clay,12.1,4.4
Clinton,11.4,3.4
Crawford,32.6,15.1
Daviess,11.7,3.4
Dearborn,11.7,3.3
Decatur,11.0,6.0
DeKalb,14.9,3.8
Delaware,21.8,3.1
Dubois,16.3,5.1
Elkhart,17.6,2.5
Fayette,20.7,5.9
Floyd,14.6,2.6
Fountain,11.1,3.7
Franklin,9.4,3.8
Fulton,21.5,7.0
Gibson,10.8,4.3
Grant,28.5,3.7
Greene,22.1,5.3
Hamilton,4.6,0.9
Hancock,4.8,1.9
Harrison,9.4,3.2
Hendricks,6.0,1.6
Henry,19.0,4.2
Howard,16.5,3.2
Huntington,13.4,4.2
Jackson,16.2,5.5
Jasper,8.1,3.2
Jay,19.4,6.4
Jefferson,15.9,3.9
Jennings,19.2,4.7
Johnson,9.1,2.2
Knox,16.6,4.3
Kosciusko,11.1,2.4
LaGrange,4.1,1.5
Lake,22.9,1.7
LaPorte,25.0,3.8
Lawrence,11.1,3.6
Madison,21.1,3.1
Marion,21.1,1.3
Marshall,14.4,4.1
Martin,25.2,10.6
Miami,27.1,5.2
Monroe,15.0,3.0
Montgomery,17.2,3.8
Morgan,12.0,2.9
Newton,17.3,6.8
Noble,8.3,2.5
Ohio,16.1,7.9
Orange,21.7,8.1
Owen,19.7,6.0
Parke,26.6,9.5
Perry,12.0,3.5
Pike,15.4,6.5
Porter,11.2,1.8
Posey,11.6,5.0
Pulaski,15.0,5.1
Putnam,11.4,3.6
Randolph,19.5,4.1
Ripley,10.3,3.9
Rush,13.1,5.3
St. Joseph,19.8,2.0
Scott,20.2,6.9
Shelby,21.7,5.5
Spencer,8.3,3.7
Starke,12.6,4.0
Steuben,12.2,5.1
Sullivan,17.4,7.7
Switzerland,26.3,10.8
Tippecanoe,16.4,2.8
Tipton,18.2,6.4
Union,7.2,5.2
Vanderburgh,20.3,2.6
Vermillion,19.3,6.7
Vigo,25.6,3.1
Wabash,15.7,4.6
Warren,19.7,6.6
Warrick,6.7,2.3
Washington,16.2,5.4
Wayne,22.1,3.1
Wells,6.4,2.6
White,8.8,3.7
Whitley,13.8,4.6
