county,pov,moe
Crawford,28.717579075756465,15.1
Switzerland,23.36146088581022,10.8
Martin,23.16388385669082,10.6
Parke,22.369225173004473,9.5
Blackford,21.16053791738187,8.9
Orange,21.077415918213237,8.1
Fulton,20.173172362351654,6.999999999999999
Scott,19.91532682658985,6.9
Sullivan,19.712875517511,7.7
Warren,19.50642392354945,6.599999999999999
Miami,19.478814132083865,5.2
Vermillion,19.354873611672502,6.7
Fayette,19.234867367607787,5.9
Jay,19.19512176448065,6.4
Benton,19.120081558718134,5.9
Owen,19.10726742134171,6
Shelby,19.053986217507934,5.500000000000001
Greene,18.996020110613028,5.3
Tipton,18.936512393806197,6.4
Newton,18.902942616363177,6.800000000000001
Grant,18.818798883129702,3.7000000000000006
Ohio,18.62506995159105,7.9
LaPorte,17.87322397096972,3.8
Jennings,17.833554982422303,4.7
Randolph,17.552771068951834,4.1000000000000005
Henry,17.411152415997964,4.2
Vigo,17.360579920685577,3.0999999999999996
Jackson,17.307273812057506,5.500000000000001
Pike,17.29251932096855,6.5
Wayne,17.278236613885586,3.0999999999999996
Delaware,17.258222044145317,3.0999999999999996
Madison,17.164618167704415,3.0999999999999996
Dubois,17.150888446609223,5.1
Washington,17.124961687586328,5.4
Cass,17.006702016262455,4
Knox,16.898483130861745,4.300000000000001
Montgomery,16.71712446732632,3.8
Vanderburgh,16.699914738915673,2.6
Wabash,16.236676826722945,4.6
Lake,16.231606538840122,1.7000000000000002
St. Joseph,16.151535660601724,2
Pulaski,16.125745990253325,5.1
Elkhart,16.066618829595132,2.5
Howard,16.057598018712866,3.2
Jefferson,15.913800409037995,3.9
Marion,15.76694938477767,1.3
Tippecanoe,15.698935937126437,2.7999999999999994
Adams,15.454360073227697,4.5
DeKalb,15.191199047749624,3.8
Allen,15.041163190924308,1.5
Monroe,14.977405919725651,3
Marshall,14.893149875637965,4.1000000000000005
Whitley,14.813241479283201,4.6
Rush,14.783957855736398,5.3
Huntington,14.405596390919511,4.2
Floyd,14.188223491508007,2.6
Bartholomew,14.048952714106305,2.9000000000000004
Steuben,14.00753188026806,5.1
Starke,13.693108407163383,4
Clay,13.438065796393929,4.4
Clark,13.031917235799206,2.3
Perry,12.553572735890201,3.4999999999999996
Morgan,12.513501808050043,2.9000000000000004
Posey,12.39370827036164,5
Daviess,12.268439307812057,3.4000000000000004
Dearborn,11.978483882508579,3.2999999999999994
Clinton,11.498862746184416,3.4000000000000004
Putnam,11.299660849566106,3.5999999999999996
Fountain,10.760789570979316,3.7000000000000006
Decatur,10.476484559122676,6
Porter,10.391469880190321,1.7999999999999998
Lawrence,10.130032542130492,3.5999999999999996
Kosciusko,10.057333030719583,2.4
Carroll,9.74064848394844,4.5
Gibson,9.360306743018935,4.300000000000001
Brown,8.95425431706503,5.599999999999999
Ripley,8.939414333897133,3.9
Franklin,8.26331508971712,3.8
Harrison,7.832975048503746,3.2
Johnson,7.359891096022434,2.2
White,7.268349407157309,3.7000000000000006
Noble,6.800385168234388,2.5
Spencer,6.630816948417892,3.7000000000000006
Jasper,6.273734554026948,3.2
Union,6.130818700658283,5.2
Warrick,5.626909818738988,2.3
Wells,5.373644945114704,2.6
Hendricks,5.0658724033273534,1.6
Hancock,4.832730406509602,1.9
Boone,4.596295802782745,1.9
Hamilton,4.354805069556758,0.8999999999999999
LaGrange,4.142667234549871,1.5
