county,pov,moe
Barber,38.179455409336015,13.899999999999999
Phillips,37.57945540933601,13.100000000000001
Stanton,37.039455409336014,28.200000000000003
Cheyenne,26.01980888583597,14.2
Wallace,25.86671512774885,13.999999999999998
Mitchell,25.816914434166755,13.999999999999998
Stevens,25.04832880087058,13
Morton,24.03364290533504,12.200000000000001
Clark,23.845817560789474,11.600000000000001
Jewell,23.451727462500422,10.900000000000002
Ness,23.34455761182675,10.8
Kearny,23.213098312243545,10.6
Russell,22.588328996224092,9.8
Lincoln,22.315861392718492,11.9
Decatur,21.87198919915794,8.9
Clay,21.696627381844884,9.2
Osborne,21.29242546061108,8.200000000000001
Wichita,21.189244577524533,8.4
Logan,21.145947705183588,9.3
Chautauqua,21.10677566881483,7.9
Greenwood,20.715153545880142,7.400000000000001
Edwards,20.696926953819244,7.500000000000001
Woodson,20.653573162980933,7.9
Harper,20.64916582236725,7.400000000000001
Elk,20.557189044521568,7.400000000000001
Allen,20.254687978785483,6.800000000000001
Republic,19.899921597938906,7.3
Greeley,19.749942266283742,8.5
Neosho,19.69735319246299,6.1000000000000005
Anderson,19.557694546363763,8.9
Finney,19.300537608489847,5.800000000000001
Washington,19.27981136788205,7.3
Seward,19.0115209341001,5.500000000000001
Barton,18.99993017726075,5.2
Lyon,18.960983860403875,5.3
Crawford,18.699076364329407,4.8
Bourbon,18.571645760155928,5.3
Montgomery,18.542954659329084,4.6
Wilson,18.501148927560003,5.3
Geary,18.465573912366402,4.5
Cowley,18.33420850116938,4.4
Osage,18.05389107137028,5.2
Ford,17.957984903487077,4.4
Rice,17.911027210354526,6.1000000000000005
Brown,17.7385983368835,3.8
Riley,17.65138275026194,3.4999999999999996
Jackson,17.53432836176372,6.199999999999999
Wyandotte,16.984537121208316,2.6
Reno,16.790350089183946,3.5999999999999996
Atchison,16.521010175601834,5.9
Sherman,16.49717709846299,8.600000000000001
Stafford,16.43472477828106,6.3
Coffey,16.071167392125545,4.300000000000001
Shawnee,16.05904884333605,2.2
Sedgwick,15.989689408233662,1.3999999999999997
Hamilton,15.771572347201465,10.4
Saline,15.575206517042572,3.9
Harvey,15.346693787457255,5
Comanche,15.29339073780396,10.7
Sumner,14.559211901761515,4.2
Ottawa,14.123052420477391,4.8
Cherokee,13.518112271669425,4.4
Haskell,12.903773453569267,6.199999999999999
Morris,12.895028367460936,7.6
Cloud,11.653199273783745,5.599999999999999
Kingman,11.323785026770357,6.199999999999999
Dickinson,10.19248395082599,4.1000000000000005
Labette,9.694644771217112,4
Pratt,9.18167353897284,5.9
Ellis,9.162293722556008,3.7000000000000006
Ellsworth,8.517921760916797,4.9
Chase,8.457619482117918,7.199999999999999
Hodgeman,7.985398530106082,7.1
Linn,7.243210038458001,4.6
Doniphan,6.9638776304586605,5.3
Lane,6.721061106679225,10.5
Graham,6.7084200144824635,6.199999999999999
Leavenworth,5.796835480759575,2.2
McPherson,5.673055780508948,3.8
Pottawatomie,5.501385257415679,4.7
Douglas,5.1964964362242645,2.5
Butler,5.038097861844564,2.7
Marshall,4.982775118051271,5.599999999999999
Rawlins,4.864353686089236,6.7
Trego,4.77237499599309,8.7
Rush,4.593020685542984,5.500000000000001
Nemaha,4.470980638498004,3.9
Norton,4.3858856207332115,3.4999999999999996
Grant,4.337915815564094,5.4
Pawnee,4.274437191464204,5.2
Smith,4.209809435549096,3.4000000000000004
Meade,4.17201249605322,4.1000000000000005
Miami,4.132654965384224,3.2999999999999994
Franklin,4.100769026792281,2.5
Jefferson,4.078781297987762,3
Marion,4.059176955541129,2.9000000000000004
Gray,4.044756305417834,3.7000000000000006
Johnson,4.028751488401271,0.6999999999999998
Thomas,4.022878153764362,4.8
Wabaunsee,4.013876098616394,2.3
Kiowa,4.008733625131509,2.9000000000000004
Scott,4.005194476232504,4.8
Gove,4.002377287409342,3.4000000000000004
Rooks,4.000783080667334,1.6
Sheridan,4.00010465016341,1.9
