county,pov,moe
Leslie,27.043470516939706,14.100000000000001
Wolfe,25.698249318478243,16.499999999999996
Lee,24.327987138831897,14.299999999999999
Fulton,24.248775686987003,14.2
Elliott,24.00909010791986,13.999999999999998
Hickman,23.59702521243185,13.4
Menifee,22.73903856923747,11.9
Livingston,22.65726996132805,12.3
Magoffin,22.551769505788034,11.700000000000001
Clinton,22.17209970022564,11.399999999999999
Marion,22.15316131690966,11.199999999999998
Crittenden,22.130614441246554,11.3
Todd,21.95176097069122,11.000000000000002
Knox,21.491516023315018,7.6
Floyd,21.40610133879772,7.500000000000001
Lewis,21.085284541058385,9.6
Breckinridge,21.04916153833936,9.5
Casey,20.95760594547053,9.3
Lawrence,20.849319441754808,9.2
McCreary,20.82070716257215,9.1
Carlisle,20.81582245791487,9.3
Rowan,20.759665373585936,9.1
Metcalfe,20.733718201886564,9.1
Knott,20.429968647691336,8.4
Breathitt,20.413611729956955,8.4
Harlan,20.373427941107852,8.3
Clay,20.259801555520173,8.1
Letcher,20.101709484952835,8
Rockcastle,20.01522742125742,7.9
Estill,19.962667089434095,7.9
Wayne,19.75477324655034,7.400000000000001
Bell,19.42670171371458,7.1
Adair,19.28908766630366,6.9
Bath,19.183596841607415,6.7
Barren,18.75779139048649,6
Hopkins,18.599903471914086,5.800000000000001
Carroll,18.55819842972723,10.4
Owsley,18.038210806381972,15.8
Pike,17.94803448934928,4.7
Cumberland,17.6581981975796,11.8
Trigg,17.393769892268864,9.700000000000001
Carter,17.359052114776386,6.599999999999999
Fleming,17.248991093519013,8.4
Bracken,17.065286220923088,11.000000000000002
Perry,16.931244254797882,8.4
Grayson,16.63917559651982,6.800000000000001
Powell,16.597107448879722,8.3
Hart,16.286454685883974,6.800000000000001
Green,16.114848579563194,7.6
Martin,16.01699085065351,9.700000000000001
Monroe,15.827685050014276,7.3
Pulaski,15.660158600682339,4.2
Allen,15.291422862754914,7.7
Robertson,15.159613870410048,14.100000000000001
Graves,15.118057529701733,6.7
Morgan,14.96260337854417,7.3
Larue,14.940124602194516,7.7
Russell,14.575991513965327,6.199999999999999
Gallatin,14.446573702395723,8.3
Garrard,14.170941926865414,8.200000000000001
Mason,14.096502873849587,6.4
Laurel,13.933340176483517,4.5
Butler,13.855744693381784,6.199999999999999
Johnson,13.757721444477506,6.800000000000001
Hancock,13.63648578159286,7.6
Logan,13.587498120457223,7.3
Henry,13.361413659360844,7.3
Whitley,13.294415231587262,5.699999999999999
Jackson,12.586616278281731,8.5
Calloway,12.39929845823683,6.999999999999999
Muhlenberg,12.291013373492039,5.9
Union,12.260828652627357,6.199999999999999
Boyd,12.248313414534277,4.9
Henderson,12.019193693201316,4.2
Harrison,11.482204675156401,6.599999999999999
Ballard,11.410565253391455,6.1000000000000005
Clark,11.329618150888617,5
McCracken,11.142861646856392,4.2
Edmonson,11.10461726062855,7.7
Pendleton,10.948474997169622,5.9
Greenup,10.722781704664985,4.9
Taylor,10.676070504040913,7.6
Franklin,10.571910562665023,4.4
Ohio,10.323113605768267,5.800000000000001
Meade,10.219530746864214,5.1
Montgomery,10.13005319069169,5.3
Warren,10.096355110839562,3.0999999999999996
Anderson,10.056389793753272,6.599999999999999
Caldwell,9.352163031109892,5.500000000000001
Kenton,9.17088266216672,3.2999999999999994
Christian,9.053615082481413,3.4000000000000004
Nicholas,9.034679829259714,7.3
Lincoln,8.962788970256028,5.2
Bourbon,8.899560161561809,5.3
Mercer,8.883458663863431,6.599999999999999
Jefferson,8.851913118557878,1.2
Webster,8.794773110517498,6.1000000000000005
Marshall,8.632932136701744,5
Madison,8.583693434262054,3
Jessamine,8.549753184275042,4.2
Daviess,8.156574895592152,2.6
Boyle,8.138970078550091,4.2
Fayette,8.11437284839843,2.3
Washington,7.839124047014637,4.8
Bullitt,7.81816135486518,3.7000000000000006
Simpson,7.7667485213726986,5.599999999999999
Spencer,7.70816601694309,5.1
Grant,7.676410841829185,4.7
Owen,7.616240527771419,6
Lyon,7.360191895069532,8.4
Nelson,6.659563338336663,3.4999999999999996
Hardin,6.580342355026914,2.3
Woodford,6.532248719012294,4.6
Scott,6.363162043372972,2.7999999999999994
Campbell,6.218555156419827,2.7
Shelby,5.941861937499569,3.4999999999999996
McLean,5.77624301450251,3.5999999999999996
Trimble,5.4497450054535195,4.7
Boone,5.36183194471301,2.1
Oldham,4.7821206477400064,2.1
