county,pov,moe
East Carroll,28.45126920802945,11.399999999999999
Tensas,26.216269208029452,9.6
Madison,23.981269208029452,8.600000000000001
Cameron,19.514550477590102,15.9
West Feliciana,17.59490506225067,12.399999999999999
Catahoula,17.142558461928996,11.5
St. Helena,16.23278245918604,9.9
Bienville,16.14878514687129,9.700000000000001
West Carroll,16.03582563728181,9.6
Red River,15.829634081658678,9.2
Union,15.748076239912779,9
Claiborne,15.609942650473743,8.7
Morehouse,15.288633166856824,8.200000000000001
Jackson,15.236314697455079,8.1
Caldwell,15.190656884577017,8.1
Evangeline,15.110395548656264,7.9
Winn,14.852417166807808,7.500000000000001
West Baton Rouge,14.816777321142546,7.500000000000001
Concordia,14.804136933778334,7.3
LaSalle,14.782974455922677,7.400000000000001
Pointe Coupee,14.771923220524286,7.400000000000001
Franklin,14.606754308437923,6.999999999999999
Allen,14.511377422883735,6.9
East Feliciana,14.351108588852624,6.7
St. James,14.1410886607812,6.3
Assumption,13.951920792021474,6
Iberville,13.92855188736509,5.9
Lincoln,13.920342208228224,5.800000000000001
Washington,13.911654232847967,5.800000000000001
Richland,13.847946101135378,5.699999999999999
Plaquemines,13.813160231644972,5.699999999999999
Acadia,13.802558860396813,5.599999999999999
De Soto,13.779407434893809,5.599999999999999
St. Bernard,13.564459111115504,5.2
Webster,13.528703610191704,5.1
Jefferson Davis,13.523576132711055,5.2
St. John the Baptist,13.509386119059336,5.2
Sabine,13.457771929707674,5
Grant,13.406941220519958,5
St. Martin,13.311014727673475,4.8
Natchitoches,13.27985205200512,4.7
Vermilion,13.26536847147295,4.7
Iberia,13.126668969135771,4.4
Avoyelles,13.0807975472683,4.300000000000001
St. Mary,13.049042708621355,4.300000000000001
St. Charles,13.04623304562793,4.4
Lafourche,12.978158039434062,4.2
St. Landry,12.848832875034299,3.9
Beauregard,12.845270774746446,4
Vernon,12.81438450066103,3.9
Tangipahoa,12.77361901771163,3.8
Terrebonne,12.636002336837013,3.5999999999999996
Rapides,12.599196401151438,3.4999999999999996
Calcasieu,12.373705206645443,3.0999999999999996
Ouachita,12.337284469731506,3
Lafayette,12.315210871456324,3
Bossier,12.308855870521084,3
Livingston,12.308388077084315,3.0999999999999996
Caddo,12.277202578299514,2.9000000000000004
Ascension,12.104497832824986,2.7
Orleans,12.055127582857107,2.5
East Baton Rouge,11.809577110052357,2.1
St. Tammany,11.787750677534595,2.1
Jefferson,11.751152165854073,2
