county,pov,moe
Montmorency,23.07250911824602,9.7
Luce,21.387653331109075,9
Keweenaw,20.73582638805305,10.1
Schoolcraft,20.26028813665122,7.5
Ontonagon,19.88564912179744,7.7
Lake,19.76474768209399,6.6000000000000005
Ogemaw,19.76474768209399,6.6000000000000005
Iron,19.743088274836982,7.1
Alcona,19.551216826597496,6.5
Oscoda,19.28486722780818,6.9
Chippewa,19.237105861771454,5.700000000000001
Clare,19.130186825693002,5
Mason,19.080056418137065,5.700000000000001
Mackinac,19.073115486495663,5.700000000000001
Presque Isle,18.896183677022705,6.1000000000000005
Baraga,18.845103406450193,6.4
Roscommon,18.531299089779612,4.8
Kalkaska,18.52974426262443,5.599999999999999
Iosco,18.361882049925455,5.1
Newaygo,18.299177960680264,4.8
Gogebic,18.298385016888638,5.4
Hillsdale,18.204696658873846,4.5
Alpena,18.078120296160687,4.6
Branch,17.986195534014442,4.5
Crawford,17.909048869235537,4.6
Gladwin,17.88856348860884,4.5
Cheboygan,17.824373188861976,4.4
Sanilac,17.7678749724372,4
Osceola,17.754823329825108,4.2
Cass,17.725294929003994,4.1
Gratiot,17.690072594089052,4
Delta,17.62215345676648,4.3
Charlevoix,17.595056004370875,4.6
Missaukee,17.52752438631208,4.2
Oceana,17.507576655766556,3.9
Dickinson,17.480155742727916,4.5
St. Joseph,17.375447145799377,3.8
Arenac,17.328772718006448,3.8
Shiawassee,17.249302257285805,3.8
Saginaw,17.21851473974992,3
Antrim,17.211951244941233,3.7000000000000006
Wexford,17.20609016414027,3.5000000000000004
Mecosta,17.182470191393346,3.4000000000000004
Bay,17.173771870544705,3.2
Isabella,17.164504044862582,3.3000000000000003
Grand Traverse,17.097464054874678,3.4000000000000004
Berrien,17.09701592780281,3
Benzie,17.061488296359684,3.6000000000000005
Otsego,17.005885558801847,3.4000000000000004
Alger,16.94903232740925,3.7000000000000006
Clinton,16.937293729674074,3.4000000000000004
Emmet,16.935454251310688,3.5000000000000004
Marquette,16.918098390961394,3.3000000000000003
Van Buren,16.867703609940797,2.9000000000000004
Calhoun,16.858909453928554,2.7
Manistee,16.83850477737351,3
Leelanau,16.69524248956425,3
Barry,16.611699051164173,2.9000000000000004
Houghton,16.598068287543093,2.7999999999999994
Montcalm,16.582869328788007,2.6
Huron,16.575038849130415,2.6
Monroe,16.554344118066812,2.6
Muskegon,16.520279913463018,2.4
Ionia,16.488852658481996,2.6
Menominee,16.412702074636876,2.5
Midland,16.388064701441827,2.4
Tuscola,16.37499671982833,2.3
Jackson,16.36618955089536,2.2
Lapeer,16.35243937520448,2.3
St. Clair,16.312747106889127,2.1
Allegan,16.30222762263915,2.2
Lenawee,16.261674555241466,2.1
Genesee,16.239272969285704,1.8000000000000003
Ingham,16.237889424716194,2
Kalamazoo,16.111698684329163,1.9
Washtenaw,15.850441980406554,1.5
Eaton,15.825340515018278,1.5
Livingston,15.818945632793055,1.6
Kent,15.710305975984989,1.2
Wayne,15.701464694065589,0.9000000000000001
Macomb,15.589966340824073,1
Ottawa,15.569743422052559,1.1
Oakland,15.326298521566347,0.6
