county,pov,moe
Mahnomen,23.47037548991566,4.2
Watonwan,22.440375489915663,8.1
Lake of the Woods,21.979818203405056,11.000000000000002
Koochiching,21.410375489915662,7.500000000000001
Grant,17.75366731794738,6.1000000000000005
Nobles,17.512934409246693,5.599999999999999
Pipestone,17.384804968690165,5
Wilkin,17.20074818679014,6.9
Martin,16.972739618011325,5.2
Todd,16.968868627291997,4.300000000000001
Carlton,16.96315472753399,4.8
Big Stone,16.941474774864414,5.500000000000001
Cottonwood,16.841230007786262,4.8
Mower,16.808122783711582,4.300000000000001
Clay,16.79253561581076,4.4
Chippewa,16.70300290756742,5.800000000000001
Cass,16.581426960400293,3.7000000000000006
Faribault,16.55929830810359,4.2
Roseau,16.457914063155858,4.6
Wadena,16.372698378764227,5
Pennington,16.328790678135725,4.7
Beltrami,16.218736395797308,3.0999999999999996
Kandiyohi,16.153780210201926,3.5999999999999996
Cook,16.086280363264965,5.500000000000001
Mille Lacs,15.957746665136947,3.7000000000000006
Jackson,15.934694321969728,4.5
Aitkin,15.772609142572078,3.5999999999999996
Itasca,15.410116938299993,3
Stearns,15.409195745771173,3.2
Polk,15.406630448797834,3.2999999999999994
Becker,15.334621136281188,2.7
Sibley,15.331313597108606,5.4
Renville,15.292580655641592,3.2999999999999994
Swift,15.28538879809245,3.4000000000000004
Nicollet,15.203583346440059,3.9
Traverse,15.141753065654303,4.6
Crow Wing,15.084660876783007,2.7999999999999994
Freeborn,15.06488149101706,3.2
Rice,15.03981336329437,3.8
Pope,14.994522234986912,4.2
Isanti,14.956695872807357,3.9
Lyon,14.913848952706438,3.0999999999999996
Kanabec,14.837361196058591,3.8
Ramsey,14.814028418944275,1.7000000000000002
Benton,14.584265840047275,3.4999999999999996
Blue Earth,14.580877379642128,2.7999999999999994
Goodhue,14.56379413586332,2.9000000000000004
Fillmore,14.538373005402033,2.7999999999999994
Pine,14.524750406322,2.6
Marshall,14.398418732409068,4.4
Norman,14.307089187551176,3.7000000000000006
Lac qui Parle,14.230456374607428,3.2999999999999994
St. Louis,14.120036027815164,1.7000000000000002
Red Lake,13.96778877317462,4.1000000000000005
Morrison,13.947495577736706,2.7
Redwood,13.781261636774515,2.7
Le Sueur,13.65606544905672,3.0999999999999996
Hubbard,13.593363530894045,2.5
Rock,13.510472063616636,3.0999999999999996
Kittson,13.43402218901398,4
Clearwater,13.409976661748413,2.5
Yellow Medicine,13.31016931795996,2.9000000000000004
Douglas,13.210525653902028,3
Wabasha,13.064448308497386,2.9000000000000004
Otter Tail,13.0282395001773,2
Hennepin,12.961278518995718,0.8
Brown,12.859060071526585,3.2
Steele,12.735792642007974,2.5
Stevens,12.578155296458412,3.0999999999999996
Winona,12.466688361695235,2.2
Meeker,12.172301450597411,2.2
McLeod,11.883136426114538,2.7999999999999994
Lincoln,11.751668947072117,2.3
Olmsted,11.609572935512189,1.6
Murray,11.46104115671925,2.3
Anoka,11.212582123169334,1.1
Lake,11.10132768058737,3.0999999999999996
Chisago,10.914213143038182,1.9
Scott,10.824069061464519,2.1
Dakota,10.562702437526669,0.8999999999999999
Houston,10.367837638756642,2.1
Sherburne,10.22979668499957,2.4
Dodge,9.589185770077613,1.7000000000000002
Waseca,9.499568187313626,2.4
Wright,8.594947404909803,1.3999999999999997
Washington,7.735780586538711,0.8999999999999999
Carver,6.5382034781143625,1
