county,pov,moe
Tunica,27.319127498847834,15.8
Humphreys,26.46216292614324,14.7
Jefferson,25.371480742701024,13.3
Montgomery,24.636082647554193,13.999999999999998
Jefferson Davis,23.86776758083218,11.9
Claiborne,23.608613462353667,13.700000000000001
Winston,23.486099725159708,11.000000000000002
Kemper,23.43313351789351,11.1
Quitman,23.203958751590772,10.6
Franklin,23.015393666310192,11.5
Sharkey,22.632441739758065,12.6
Holmes,21.94608756823275,9.1
Amite,21.62440935837303,9.4
Marion,21.423771863957842,10.4
Tallahatchie,21.363105724576396,8.7
Noxubee,21.339436401545335,9.700000000000001
Leflore,21.21422515274848,8.1
Covington,21.143407312610577,9.8
Yalobusha,20.7490546116065,10.2
Pike,20.68028400924969,7.500000000000001
Chickasaw,20.619621541939107,7.8
Newton,20.56374264172878,8.1
Copiah,20.415892441016737,7.7
Coahoma,20.332036623586603,6.9
Attala,20.231659920566102,7.9
Sunflower,19.772851412418316,6.5
Adams,19.723072294213548,6.7
Wilkinson,19.653168930065444,10.3
Yazoo,19.61558178676153,6.199999999999999
Neshoba,19.503953037052344,6.1000000000000005
Bolivar,19.300661347159547,5.599999999999999
Washington,18.78863354608842,5
Grenada,18.680995910451298,8.1
Stone,18.599260204180055,9.1
Marshall,18.32037153469881,7.9
Leake,18.21157024345145,7.1
Lauderdale,18.00076019560901,5.3
Benton,17.559240441979888,10.7
Jones,17.15960444530649,5.3
Clay,16.89581717786171,7.3
Calhoun,16.888534305052897,8.3
Perry,16.43059643986117,9.4
Scott,16.25735103795285,7.8
Wayne,15.648013720128631,8.7
Lincoln,15.5644222447083,5.599999999999999
Hinds,14.385131956600091,2.9000000000000004
George,14.15414367578141,7.400000000000001
Jasper,14.082195288443497,10.1
Lawrence,13.822483297644403,8.5
Choctaw,13.577297517008253,10.1
Forrest,13.09526467482351,4.6
Warren,13.003720059483873,5.9
Carroll,10.79931449848708,11.399999999999999
Pontotoc,10.763948237377667,5.599999999999999
Tippah,10.690817022250581,7.9
Lowndes,10.620725404991056,4.2
Clarke,9.628200501168454,6.199999999999999
Harrison,9.124437304062498,2.4
Greene,9.118926354193105,7.6
Smith,8.443245038679526,6.9
Tishomingo,7.826391260309888,6.3
Tate,7.312175384666859,8
Lamar,6.841639732879437,4
Webster,6.738054819936427,7.400000000000001
Panola,5.912760927502543,5.2
Simpson,5.826529297427453,6.999999999999999
Hancock,5.405319463260194,6.800000000000001
Oktibbeha,4.891884293040142,5.699999999999999
Pearl River,4.36178659194309,4
Alcorn,4.1094400753875435,4.4
Jackson,3.716775450447934,3.0999999999999996
Lee,3.4872727228405718,3.2999999999999994
Prentiss,3.4734317577009723,6.7
Monroe,3.1645224015170212,5.500000000000001
Lafayette,2.930523340708271,5
Walthall,2.7978677683642332,6.599999999999999
Union,2.564610325832384,4.6
Madison,2.3857635434945093,2.9000000000000004
Issaquena,2.3107178855793125,18.9
DeSoto,2.255828548238809,1.9
Rankin,2.091587844892871,3.4000000000000004
Itawamba,2.027808047150512,4.6
