county,pov,moe
Liberty,31.751765565149526,18.2
Judith Basin,25.939012016997303,17.5
Wibaux,25.44413099258165,16.400000000000002
Wheatland,24.62335181778571,15.300000000000002
Meagher,24.01375605869559,14.6
Roosevelt,22.024029222045183,6.599999999999999
Deer Lodge,21.70867664974875,10.6
Glacier,21.683398952133604,8.200000000000001
Lincoln,20.904362266253745,9.1
Rosebud,20.46674479024368,8.8
Daniels,20.25536889907049,15.7
Pondera,20.25462123058389,8.200000000000001
Carter,18.824934460547304,12.9
Fergus,18.814242345811138,10.6
Big Horn,18.546428608189938,5.500000000000001
Sanders,17.578280677746886,9.1
Teton,17.338390127915147,10.900000000000002
Mineral,16.971954052992604,9.2
Lake,16.88016294611709,5.699999999999999
Blaine,16.558412970247876,6.5
Treasure,16.534081791743393,11.3
Musselshell,16.177605373627475,9.6
Park,15.558374458591743,7.9
Hill,15.519105443351325,6.7
Prairie,14.742798325920866,10.4
Valley,14.57777839994055,7.500000000000001
Silver Bow,13.957980034821723,4.9
Toole,13.88424031181223,9.4
Powder River,13.681155932757246,8.5
Beaverhead,13.356281847296767,6.4
Chouteau,13.301440987613178,5.699999999999999
Broadwater,13.008009955417693,8
Carbon,12.629369540061566,5.599999999999999
Garfield,12.376438558744708,10.4
Golden Valley,12.237737472513825,7.8
Cascade,11.924173117815462,3.2999999999999994
Ravalli,10.784233661786951,3.4999999999999996
Sheridan,10.217885355812218,5.1
Yellowstone,10.10236799513715,1.9
Flathead,9.388590209684061,2.7
Fallon,9.339690168555087,6.599999999999999
Lewis and Clark,9.232881368118653,2.7
Stillwater,8.923998799586668,4
Gallatin,8.854109449603827,3.2
Powell,8.81628704378332,6.1000000000000005
Missoula,8.676854177422815,2.2
Petroleum,8.518264891420682,30.699999999999996
Custer,8.517393796593494,4
Madison,8.275782033258562,3.0999999999999996
Dawson,8.164956208277733,3.7000000000000006
Phillips,7.289450713708934,3.0999999999999996
Sweet Grass,7.163765942609351,5.2
Jefferson,7.029864767760967,3
Richland,6.784789860555603,3
Granite,6.120013078552764,2.6
McCone,5.7502242748840775,2.6
