county,pov,moe
Hyde,35.27870327047473,18.9
Tyrrell,27.586188443529746,18.3
Chowan,23.85072178332313,12.1
Gates,22.632206001321897,12.5
Washington,22.22057870028792,10.899999999999999
Bertie,21.987979675814948,10.6
Anson,21.638321845700283,9.4
Alleghany,21.334569578448264,8.8
Montgomery,20.981692614435527,9.4
Warren,20.90073995549206,8
Swain,20.7912328794195,8.2
Greene,20.769556719722818,7.8
Richmond,20.213943122986645,7.000000000000001
Bladen,20.161376029420435,6.6000000000000005
Edgecombe,19.805162006061092,6.5
Hertford,19.73726351845858,7.000000000000001
Northampton,19.64963475972432,6.9
Cherokee,19.370325560725586,7.000000000000001
Jackson,19.29912561053752,6.5
Person,19.280439783415616,6.199999999999999
Martin,19.274375914921286,6.1000000000000005
Perquimans,19.16473910156183,7.200000000000001
Jones,19.144253597459674,7.200000000000001
Halifax,19.12239174471137,5.800000000000001
Pamlico,19.04660218724286,6.6000000000000005
Graham,19.043259856295343,7.6
Transylvania,18.97680768213831,6.6000000000000005
Caswell,18.959054572081563,6.4
Scotland,18.897026078142172,5
Columbus,18.889197046662673,5.9
Ashe,18.877034411480466,6.6000000000000005
Lenoir,18.775406746708747,5.3
Sampson,18.639993791171115,5.1
Beaufort,18.62517506052858,5.4
Yadkin,18.596555769789262,5.800000000000001
Vance,18.576165857975223,5.5
Macon,18.53655736633485,5.800000000000001
Mitchell,18.42296402726678,6.1000000000000005
Duplin,18.38609623495186,4.9
Alexander,18.376391894801138,5.599999999999999
Wilson,18.357203054592446,4.9
Wilkes,18.199382056901893,4.8
Stokes,18.177063988392383,5.5
Yancey,18.168535610824602,5
Camden,17.99678614919643,5.800000000000001
Madison,17.969845006082576,5.4
Haywood,17.968172430641065,5
Avery,17.89977063866876,5.3
Burke,17.882645322329505,4.4
Lee,17.857699429962636,4.6
Currituck,17.856481894486198,5.2
Rockingham,17.853169506072877,4.2
Polk,17.847464018388877,5.1
Clay,17.763941510676563,5.4
Cleveland,17.723382909552985,4
Rutherford,17.561570848998493,4
McDowell,17.49734145172697,4.2
Davie,17.47849607250823,4.2
Caldwell,17.475312592973417,4.1
Granville,17.4578485823801,4.1
Craven,17.387028837220868,4
Surry,17.344671731287693,3.7000000000000006
Hoke,17.285755170513468,3.7000000000000006
Stanly,17.194533778716856,3.6000000000000005
Dare,17.165138812059418,4.1
Chatham,17.152770268841717,3.8
Franklin,17.13573786641546,3.8
Nash,17.123222280805038,3.5000000000000004
Rowan,17.122903787494426,3.3000000000000003
Wayne,17.00336452757618,3
Robeson,16.952043583615012,2.6
Henderson,16.946361781982535,3.3000000000000003
Pender,16.89411611909591,3.3000000000000003
Pasquotank,16.851364470568335,3.3000000000000003
Pitt,16.810414803508237,2.9000000000000004
Davidson,16.727342566056507,2.7999999999999994
Onslow,16.687102186085234,2.9000000000000004
Alamance,16.61262131319394,2.7
Carteret,16.590738014212576,2.9000000000000004
Watauga,16.58258227008967,3
Cabarrus,16.581675602746387,2.9000000000000004
Brunswick,16.563383350810028,2.7999999999999994
Harnett,16.554500457220698,2.6
Randolph,16.51443584273469,2.5
Catawba,16.487745651681827,2.5
Forsyth,16.444512356345363,2.3
New Hanover,16.41680279177964,2.5
Moore,16.39156508146246,2.5
Lincoln,16.233898423131723,2.3
Orange,16.19458879237979,2.2
Durham,16.165966367836464,2
Buncombe,16.1291935346507,2
Gaston,16.088183559639262,1.9
Johnston,16.077560945889463,1.9
Iredell,16.053629076086466,1.9
Cumberland,16.008502691409443,1.6
Guilford,15.915970443448982,1.5
Union,15.789262129232634,1.5
Mecklenburg,15.515135598663408,0.9000000000000001
Wake,15.47951165649574,0.9000000000000001
