county,pov,moe
Grant,23.70422401207246,11.199999999999998
Bowman,23.666531001210714,11.199999999999998
Golden Valley,23.471699537531094,10.900000000000002
McIntosh,23.436775673610498,11.000000000000002
Adams,23.27881406475814,11.5
Steele,23.079439821297974,10.4
Sioux,23.038088712876643,8.7
Oliver,22.406039146514495,9.6
Ransom,21.840568126011377,8.9
Ramsey,21.835377727922364,8.8
Pierce,21.695569452531668,8.8
Kidder,21.64540160244826,8.8
LaMoure,21.51534665861428,8.4
Benson,21.47734147087434,7.3
Wells,21.26810845524251,8.1
Mercer,20.813994429940504,7.8
Barnes,20.80917308663671,7.500000000000001
Towner,20.784629400381274,8.4
Rolette,20.664030253348905,6.800000000000001
Mountrail,19.133832601190456,5.699999999999999
McKenzie,18.71544316400324,4.8
Nelson,18.664797899545995,5.2
Burke,18.32800159676724,9.3
Dunn,17.537087844657638,5.4
Eddy,17.49680241748494,6.800000000000001
Bottineau,17.03727712049643,4.2
McHenry,16.333769640457092,4.2
Grand Forks,16.14651367632252,2.6
Cass,16.040832618644664,2.2
Hettinger,15.439109014544677,7.199999999999999
Morton,14.944299225112347,4.7
Divide,14.27353430513755,6.800000000000001
Richland,11.907230066958586,3.4999999999999996
Stutsman,11.262592331697723,4.300000000000001
Burleigh,9.664657779519418,2.2
Walsh,8.970605441713413,2.9000000000000004
Dickey,8.52651949963973,5.1
Williams,7.446735613711791,3.7000000000000006
Logan,6.929912145780727,5.599999999999999
McLean,6.048207434540576,3
Stark,5.521582952191973,2.5
Pembina,5.138243026964838,2.7
Foster,4.8804452958397295,4.5
Sargent,4.604136586755864,3.5999999999999996
Ward,4.389915158779836,1.7999999999999998
Renville,4.27830796022287,3.7000000000000006
Sheridan,4.190647557764508,5.9
Cavalier,4.111446992329871,4.6
Traill,4.058453947481143,2.3
Emmons,4.030007102024928,2.5
Slope,4.013554069392889,4
Griggs,4.003766237936266,1.1
Billings,4.000579040564218,14.6
