county,pov,moe
Adams,13.3,4.3
Antelope,13.0,5.7
Arthur,8.4,11.1
Banner,0.8,2.6
Blaine,26.3,21.0
Boone,7.5,3.3
Box Butte,8.3,5.0
Boyd,23.8,13.9
Brown,6.4,5.3
Buffalo,11.3,2.7
Burt,21.8,6.0
Butler,6.4,2.5
Cass,5.4,2.6
Cedar,4.4,2.6
Chase,12.5,11.0
Cherry,13.7,9.8
Cheyenne,14.0,7.0
Clay,11.0,4.0
Colfax,8.1,5.6
Cuming,8.1,4.7
Custer,17.1,7.8
Dakota,17.7,5.6
Dawes,12.4,6.6
Dawson,20.8,6.0
Deuel,3.9,4.1
Dixon,12.2,6.3
Dodge,9.2,2.9
Douglas,13.2,1.2
Dundy,22.8,16.0
Fillmore,5.2,3.3
Franklin,24.4,8.9
Frontier,15.4,6.9
Furnas,15.6,5.1
Gage,17.3,5.2
Garden,12.1,7.5
Garfield,13.7,10.2
Gosper,9.0,5.9
Grant,5.0,4.2
Greeley,17.6,7.3
Hall,18.8,3.9
Hamilton,6.9,3.6
Harlan,5.3,3.2
Hayes,14.8,8.9
Hitchcock,12.7,4.3
Holt,10.0,4.3
Hooker,0.0,16.7
Howard,1.1,0.9
Jefferson,5.2,3.8
Johnson,6.4,4.4
Kearney,15.0,8.0
Keith,13.2,9.2
Keya Paha,9.5,9.6
Kimball,12.7,11.0
Knox,12.5,3.0
Lancaster,12.0,1.4
Lincoln,9.8,3.1
Logan,7.6,5.9
Loup,0.0,16.2
McPherson,15.1,15.2
Madison,13.7,4.2
Merrick,11.8,5.3
Morrill,9.5,6.4
Nance,15.0,6.7
Nemaha,15.7,7.4
Nuckolls,7.7,4.1
Otoe,14.3,5.6
Pawnee,16.5,8.0
Perkins,11.7,6.8
Phelps,17.3,6.3
Pierce,8.6,4.4
Platte,10.4,2.9
Polk,13.6,5.7
Red Willow,19.0,10.5
Richardson,13.7,6.5
Rock,14.1,11.2
Saline,16.5,4.7
Sarpy,5.8,1.1
Saunders,6.8,3.7
Scotts Bluff,16.1,5.3
Seward,6.1,2.4
Sheridan,14.7,4.8
Sherman,13.9,7.9
Sioux,17.6,12.6
Stanton,6.7,6.5
Thayer,10.0,4.0
Thomas,0.0,24.6
Thurston,23.3,4.8
Valley,8.6,5.1
Washington,11.3,3.9
Wayne,8.2,4.3
Webster,7.3,4.1
Wheeler,18.3,19.3
York,10.6,3.7
