county,pov,moe
Blaine,32.937083748633604,21
Wheeler,28.47431475617877,19.3
Dundy,26.299988382294636,16
Boyd,25.877240624437924,13.899999999999999
McPherson,25.300347649987025,15.2
Sioux,23.736222297074562,12.6
Red Willow,22.364441607001854,10.5
Franklin,22.253933009023054,8.9
Hayes,20.989991253234678,8.9
Pawnee,20.496139018392803,8
Kearney,20.408876259497248,8
Custer,20.371031425190623,7.8
Greeley,20.073107104545663,7.3
Nemaha,20.04913604228496,7.400000000000001
Frontier,19.686505930648227,6.9
Nance,19.519612090185824,6.7
Phelps,19.34810131398954,6.3
Burt,19.2277176741834,6
Dawson,19.217969994104187,6
Rock,19.178161580251768,11.199999999999998
Dakota,18.900658614851412,5.599999999999999
Scotts Bluff,18.62455535479971,5.3
Gage,18.597154773438493,5.2
Furnas,18.471863197943016,5.1
Thurston,18.397843328934837,4.8
Saline,18.221594266037965,4.7
Garfield,18.11098234088833,10.2
Cherry,18.06485353560781,9.8
Hall,17.72906691160588,3.9
Kimball,17.369496976798064,11.000000000000002
Sherman,17.315401493272553,7.9
Chase,17.25216146146431,11.000000000000002
Cheyenne,17.030058788255587,6.999999999999999
Keith,16.911040034435576,9.2
Otoe,16.708068499588414,5.599999999999999
Sheridan,16.609042979163466,4.8
Richardson,16.055801349188844,6.5
Polk,15.47078827535469,5.699999999999999
Garden,15.144212270954293,7.500000000000001
Antelope,14.957162108394575,5.699999999999999
Dawes,14.887476599213938,6.599999999999999
Madison,14.759360914156883,4.2
Keya Paha,14.67931968448025,9.6
Dixon,14.590615752932829,6.3
Arthur,14.469968676372725,11.1
Perkins,14.400778291588317,6.800000000000001
Adams,14.384721174504406,4.300000000000001
Hitchcock,13.82661365824699,4.300000000000001
Merrick,13.563816233573228,5.3
Morrill,12.894735799578017,6.4
Gosper,12.305896416591393,5.9
Knox,12.201613881138346,3
Washington,12.043830850768138,3.9
Clay,12.007397548347623,4
Holt,11.888570243609056,4.300000000000001
York,11.618102041862844,3.7000000000000006
Thayer,11.51018778118527,4
Valley,11.477893837443487,5.1
Douglas,11.345394832117211,1.2
Colfax,11.271276562744093,5.599999999999999
Box Butte,11.134886648109084,5
Buffalo,11.082573392695034,2.7
Pierce,11.081842048394899,4.4
Logan,11.02327317030716,5.9
Platte,10.80992996755604,2.9000000000000004
Lincoln,10.640437275036337,3.0999999999999996
Stanton,10.57114689781626,6.5
Cuming,10.511579709928636,4.7
Wayne,10.490743729225413,4.300000000000001
Lancaster,10.448034606171724,1.3999999999999997
Dodge,10.162945966109515,2.9000000000000004
Nuckolls,9.959808548407164,4.1000000000000005
Brown,9.71624129580496,5.3
Webster,9.564720646973838,4.1000000000000005
Boone,9.197712820283796,3.2999999999999994
Hooker,9.178922344250015,16.7
Hamilton,9.127912558820842,3.5999999999999996
Saunders,9.057018904694273,3.7000000000000006
Johnson,8.883594007640939,4.4
Loup,8.287064217819225,16.2
Butler,8.095895380690541,2.5
Thomas,7.850278587323711,24.6
Seward,7.815922163033719,2.4
Harlan,7.710304565321365,3.2
Cass,7.629592307215637,2.6
Jefferson,7.618466721796209,3.8
Fillmore,7.593844798798523,3.2999999999999994
Grant,7.587987258985778,4.2
Sarpy,7.330446564540069,1.1
Deuel,7.131135300881226,4.1000000000000005
Cedar,6.870040364123908,2.6
Banner,6.262935950334393,2.6
Howard,6.193462178336342,0.8999999999999999
