county,pov,moe
Salem,18.865792053496044,4.2
Cumberland,18.299165240657587,3.0999999999999996
Passaic,16.22257297904883,1.5
Atlantic,16.182946676285752,2.1
Cape May,16.056013752114552,3.2999999999999994
Hudson,15.80850994330727,1.3999999999999997
Essex,15.71043425874207,1.2
Ocean,15.585258881661257,2.1
Camden,15.32656784905259,1.3999999999999997
Mercer,15.29104052461752,1.9
Warren,14.834695816203075,2.4
Union,14.177812396484171,1.2
Burlington,13.839907182218312,1.3
Middlesex,13.695311976163921,1
Sussex,13.549198219453725,2
Gloucester,13.114491144573877,1.1
Bergen,12.761631669790455,1
Monmouth,11.956590555129615,0.6999999999999998
Somerset,11.94675804691056,1.3
Morris,11.263216688297584,1.2
Hunterdon,10.012084145791224,1
