county,pov,moe
McKinley,31.277715552535923,4.4
Sierra,29.927715552535922,17.299999999999997
Quay,28.57771555253592,15.7
Hidalgo,21.610654346233453,13.999999999999998
Catron,21.2557835413259,20
Mora,19.25848894238736,19.7
Socorro,18.151923285326227,10.1
Colfax,17.715312092371718,11.000000000000002
Cibola,15.529023662400828,6.7
Grant,15.298561650498888,7.500000000000001
Harding,15.216938395451512,14.6
San Miguel,14.951810599532056,8.9
Roosevelt,14.74602047655135,9
Luna,14.441993114515462,6.999999999999999
Union,14.43425852286325,14.299999999999999
Guadalupe,14.29414438294789,14.800000000000002
Lincoln,13.553229104206507,9.1
San Juan,12.78467708680149,3.5999999999999996
Torrance,12.750486299436414,7.9
Rio Arriba,12.163010223400857,5.699999999999999
Chaves,11.886054803122589,4.300000000000001
Doña Ana,11.47261848404608,3.0999999999999996
Curry,11.292547836118274,5.2
Otero,10.639181431804918,4.7
De Baca,10.036275827865518,11.9
Valencia,9.741600881221013,4.2
Taos,9.490521925330974,5.800000000000001
Lea,9.072226945870442,3.8
Bernalillo,8.496310895636377,1.6
Eddy,8.19055804819714,4.1000000000000005
Santa Fe,8.059373620023754,2.6
Sandoval,6.513037350324987,1.7000000000000002
Los Alamos,5.670229566579654,1.9
