county,pov,moe
Eureka,45.876501959662654,32.4
Mineral,43.064001959662654,8.4
Humboldt,40.53275195966265,7.3
Nye,17.608360725910842,5.699999999999999
Clark,15.230401427724876,0.6999999999999998
Carson City,14.58105888285674,4.2
Washoe,10.996130652086336,1.3999999999999997
Elko,9.767127734538986,3.4000000000000004
Lander,9.304167220384208,9.2
Lyon,6.719256041192905,4
Storey,6.520065326878967,12.3
White Pine,5.106526140605724,4.9
Churchill,4.623075893959525,4.300000000000001
Douglas,4.31220491167522,2.9000000000000004
Pershing,4.174991320571734,5.599999999999999
Lincoln,4.068978520453585,6.1000000000000005
Esmeralda,4.014399322172381,8.5
