county,pov,moe
Franklin,20.472538159205435,6.1000000000000005
Schuyler,19.698326125431784,6.3
Yates,18.947069311467992,5.3
Montgomery,17.827348695878207,3.8
Oswego,17.78112594976014,3.0999999999999996
St. Lawrence,17.756779139092085,3.7000000000000006
Sullivan,17.754223098687927,3.7000000000000006
Allegany,17.611389466306463,3.4999999999999996
Cattaraugus,17.310804399275852,3.0999999999999996
Broome,17.165724538983625,2.9000000000000004
Chautauqua,17.01543240759438,2.7
Delaware,16.890635340385078,4.4
Rockland,16.41957859665501,1.9
Bronx,16.255992364407803,1.3999999999999997
Onondaga,16.115540379671042,1.5
Fulton,16.087095751079243,4.300000000000001
Chemung,16.027711211308926,3.0999999999999996
Lewis,15.790622640097988,3.2999999999999994
Orleans,15.656436118476178,3.7000000000000006
Kings,15.597993312971425,0.8
Oneida,15.594042528720731,2.2
Seneca,15.559277405596294,4.300000000000001
Chenango,15.38407088693721,3.0999999999999996
Cayuga,15.383910723528613,3
Steuben,15.311140742661056,2.7999999999999994
Livingston,15.26607321128479,4.1000000000000005
Clinton,15.161045245832922,3.4000000000000004
Herkimer,15.08634079076148,3.0999999999999996
Orange,14.936117206450175,1.7999999999999998
Otsego,14.920933737792636,3.2999999999999994
Niagara,14.812051526571587,2.1
Columbia,14.76972010462227,3.8
Jefferson,14.754636382568421,2.7999999999999994
Wyoming,14.684834932422852,4.1000000000000005
New York,14.66067892065681,1.3999999999999997
Rensselaer,14.654157465530263,2.5
Washington,14.559326860971256,3.8
Hamilton,14.422179049191417,5.3
Monroe,14.134791191646487,1.2
Ulster,14.090451503631291,2.6
Schenectady,13.877938324191867,2.6
Erie,13.877797280165455,1.1
Wayne,13.8518456323419,2.9000000000000004
Essex,13.742679363813739,3.2999999999999994
Albany,13.485591052195344,1.7999999999999998
Greene,13.422908109787398,3.8
Tioga,13.39149587476071,3.4000000000000004
Madison,13.084895635564264,2.7999999999999994
Tompkins,12.6064299701934,2.7999999999999994
Cortland,12.500973628667678,2.4
Queens,11.9143921897792,0.6999999999999998
Richmond,11.912636040626845,1.3999999999999997
Ontario,11.466478634796049,2.2
Schoharie,11.356324624182449,2.3
Genesee,11.326237904776013,2.7999999999999994
Warren,10.265343980207906,2.2
Westchester,10.260726044092168,0.8999999999999999
Dutchess,10.020229904297127,1.3
Suffolk,9.233058522349335,0.658
Saratoga,9.094363124993052,1.3999999999999997
Nassau,8.346737172270604,0.658
Putnam,7.632769561832455,1.7000000000000002
