county,pov,moe
Adams,30.1,5.8
Allen,17.4,3.0
Ashland,16.9,6.3
Ashtabula,24.2,3.3
Athens,18.3,3.9
Auglaize,7.3,2.2
Belmont,21.1,4.3
Brown,19.4,5.2
Butler,13.8,1.4
Carroll,19.6,6.9
Champaign,13.7,4.6
Clark,22.7,2.6
Clermont,9.1,1.6
Clinton,20.9,4.3
Columbiana,18.8,3.3
Coshocton,26.9,6.1
Crawford,22.0,4.8
Cuyahoga,23.9,1.0
Darke,13.7,3.4
Defiance,14.4,4.3
Delaware,4.9,1.0
Erie,17.2,3.5
Fairfield,10.7,2.1
Fayette,22.8,4.3
Franklin,20.5,1.3
Fulton,11.1,3.9
Gallia,21.4,6.3
Geauga,6.3,2.0
Greene,13.1,2.4
Guernsey,25.2,5.0
Hamilton,20.8,1.2
Hancock,13.1,3.1
Hardin,30.3,8.0
Harrison,22.1,7.2
Henry,16.4,4.1
Highland,18.1,3.5
Hocking,23.2,7.6
Holmes,12.6,4.1
Huron,12.5,3.0
Jackson,21.8,5.4
Jefferson,27.7,3.5
Knox,19.0,4.2
Lake,10.3,1.7
Lawrence,23.2,3.7
Licking,12.7,2.0
Logan,14.1,4.3
Lorain,20.1,1.8
Lucas,25.3,1.9
Madison,15.1,3.8
Mahoning,26.5,2.0
Marion,23.9,5.1
Medina,7.1,1.6
Meigs,20.8,6.1
Mercer,9.4,3.0
Miami,11.0,3.3
Monroe,15.1,6.2
Montgomery,22.2,1.8
Morgan,21.6,6.4
Morrow,12.8,4.3
Muskingum,21.2,3.5
Noble,21.3,8.8
Ottawa,13.0,3.6
Paulding,12.2,4.4
Perry,19.7,5.2
Pickaway,19.1,4.0
Pike,23.5,5.6
Portage,13.3,2.4
Preble,15.8,3.2
Putnam,7.9,2.5
Richland,19.7,2.9
Ross,22.6,4.3
Sandusky,17.1,4.1
Scioto,30.9,4.2
Seneca,15.5,3.2
Shelby,15.9,4.2
Stark,19.7,1.5
Summit,17.3,1.4
Trumbull,28.4,2.6
Tuscarawas,16.8,2.7
Union,5.8,2.4
Van Wert,10.7,3.3
Vinton,23.6,9.7
Warren,5.8,1.3
Washington,21.7,3.8
Wayne,10.7,1.8
Williams,18.1,5.5
Wood,10.9,2.1
Wyandot,5.2,2.8
