county,pov,moe
Hardin,22.000760952892186,8
Vinton,21.434029761290862,9.700000000000001
Hocking,20.013184473999786,7.6
Harrison,19.671027321916437,7.199999999999999
Adams,19.62088683925541,5.800000000000001
Coshocton,19.125739751227258,6.1000000000000005
Scioto,19.080493123207194,4.2
Pike,18.7041915063019,5.599999999999999
Noble,18.63055999913349,8.8
Marion,18.392251728084098,5.1
Guernsey,18.353603059923724,5
Crawford,18.10541415198159,4.8
Fayette,17.820718096990813,4.300000000000001
Ross,17.805130147176335,4.300000000000001
Morgan,17.613761163392773,6.4
Gallia,17.4987147995621,6.3
Lawrence,17.43386844493401,3.7000000000000006
Jefferson,17.373841553065517,3.4999999999999996
Jackson,17.32024881580202,5.4
Ashtabula,17.20722686647606,3.2999999999999994
Carroll,17.16749030422175,6.9
Meigs,17.069493934977654,6.1000000000000005
Trumbull,16.768355381219997,2.6
Clark,16.700830280871497,2.6
Perry,16.442258361126726,5.2
Washington,16.3969411802239,3.8
Mahoning,16.348935253923095,2
Belmont,16.288452745854322,4.300000000000001
Lucas,16.277922757994336,1.9
Clinton,16.226580754933007,4.300000000000001
Brown,16.223727959286535,5.2
Ashland,16.187695080747496,6.3
Montgomery,16.170993539386263,1.7999999999999998
Williams,16.04984957587451,5.500000000000001
Muskingum,15.891643213515502,3.4999999999999996
Cuyahoga,15.666998907844057,1
Monroe,15.643571289626774,6.199999999999999
Knox,15.500241936101794,4.2
Pickaway,15.429982892915522,4
Athens,15.162319788651848,3.9
Sandusky,14.886117183471537,4.1000000000000005
Richland,14.879836088259571,2.9000000000000004
Highland,14.786262398789043,3.4999999999999996
Columbiana,14.768931777771838,3.2999999999999994
Henry,14.6574164324726,4.1000000000000005
Shelby,14.654775655402592,4.2
Erie,14.483564536393034,3.4999999999999996
Defiance,14.307684124208075,4.300000000000001
Champaign,14.258829236900219,4.6
Logan,14.21586258873474,4.300000000000001
Allen,14.188876657612356,3
Madison,14.07495458981094,3.8
Lorain,13.929540041020658,1.7999999999999998
Preble,13.699299964449049,3.2
Seneca,13.607681765722482,3.2
Hamilton,13.494274784103425,1.2
Tuscarawas,13.449962984273181,2.7
Franklin,13.411611835482113,1.3
Morrow,13.36482417588584,4.300000000000001
Stark,13.279305641091016,1.5
Darke,13.111817652177834,3.4000000000000004
Holmes,12.937083643436193,4.1000000000000005
Paulding,12.920351412876748,4.4
Ottawa,12.854025448908624,3.5999999999999996
Hancock,12.476929869427801,3.0999999999999996
Summit,12.369147749822258,1.3999999999999997
Fulton,12.334858127617013,3.9
Portage,11.98157833646679,2.4
Greene,11.879058397061247,2.4
Huron,11.767930728424187,3
Miami,11.631785663615856,3.2999999999999994
Butler,11.381454588795838,1.3999999999999997
Van Wert,11.153381102176917,3.2999999999999994
Licking,11.109618178681222,2
Wood,10.492806277296813,2.1
Mercer,10.365541359618039,3
Fairfield,10.361075777549322,2.1
Wayne,9.899709100776851,1.7999999999999998
Lake,9.700065831991175,1.7000000000000002
Putnam,9.624375129682786,2.5
Clermont,9.333220182116802,1.6
Auglaize,9.240718229349884,2.2
Medina,8.742757122572689,1.6
Geauga,8.652806050522067,2
Union,8.516665753396794,2.4
Warren,7.762794898277827,1.3
Wyandot,7.743675426297184,2.7999999999999994
Delaware,6.435217803298678,1
