county,pov,moe
Adair,30.5,5.1
Alfalfa,19.6,10.3
Atoka,21.2,4.1
Beaver,7.1,4.9
Beckham,30.9,8.1
Blaine,20.9,7.5
Bryan,20.1,3.0
Caddo,28.5,3.4
Canadian,11.1,2.1
Carter,17.3,2.8
Cherokee,25.6,4.5
Choctaw,29.0,4.9
Cimarron,15.6,11.0
Cleveland,13.1,1.7
Coal,28.8,7.9
Comanche,20.6,2.5
Cotton,32.6,10.4
Craig,25.1,4.6
Creek,17.8,2.4
Custer,11.5,4.2
Delaware,30.3,3.9
Dewey,22.6,6.6
Ellis,19.0,6.9
Garfield,18.6,4.7
Garvin,19.4,3.4
Grady,14.3,2.4
Grant,16.8,6.2
Greer,18.3,8.3
Harmon,22.1,7.2
Harper,15.2,9.7
Haskell,30.2,4.5
Hughes,24.1,5.0
Jackson,19.0,4.4
Jefferson,38.1,6.2
Johnston,33.6,7.0
Kay,23.6,3.8
Kingfisher,15.2,5.4
Kiowa,32.3,8.0
Latimer,22.5,4.4
Le Flore,28.4,2.6
Lincoln,19.6,2.9
Logan,17.7,5.1
Love,17.9,5.0
McClain,8.2,2.0
McCurtain,30.4,4.5
McIntosh,30.9,5.4
Major,16.2,5.1
Marshall,25.6,5.6
Mayes,22.9,3.7
Murray,22.5,6.9
Muskogee,26.2,3.8
Noble,12.6,6.1
Nowata,24.4,5.8
Okfuskee,37.6,6.6
Oklahoma,22.2,1.2
Okmulgee,25.3,3.3
Osage,18.0,2.9
Ottawa,28.5,2.3
Pawnee,18.8,4.0
Payne,21.8,4.9
Pittsburg,27.0,4.0
Pontotoc,17.8,2.9
Pottawatomie,19.9,2.4
Pushmataha,28.1,5.3
Roger Mills,21.7,6.3
Rogers,13.5,1.9
Seminole,28.9,3.5
Sequoyah,27.5,3.6
Stephens,23.8,3.6
Texas,25.2,7.7
Tillman,24.5,6.3
Tulsa,20.1,1.0
Wagoner,13.7,1.8
Washington,19.9,4.0
Washita,17.3,4.6
Woods,14.7,6.5
Woodward,23.2,7.6
