county,pov,moe
Jefferson,22.653410917211065,6.199999999999999
Okfuskee,21.603410917211068,6.599999999999999
Cotton,21.425098200932986,10.4
Johnston,20.553410917211067,6.999999999999999
Kiowa,19.383367568805845,8
Beckham,19.302336626095514,8.1
Coal,18.40468001973063,7.9
Texas,17.49338059912299,7.7
Alfalfa,17.299715681926934,10.3
McIntosh,17.203247092511923,5.4
Woodward,16.94574340698477,7.6
Adair,16.888142924457306,5.1
Choctaw,16.42935227182675,4.9
Tillman,16.426425233003318,6.3
McCurtain,16.368052047211755,4.5
Pushmataha,16.31454361349607,5.3
Harmon,16.25899257784394,7.199999999999999
Haskell,16.215684797189642,4.5
Murray,16.213409878149747,6.9
Marshall,16.208806536733,5.599999999999999
Dewey,16.16054669560879,6.599999999999999
Blaine,16.13995549850531,7.500000000000001
Nowata,16.03121149141246,5.800000000000001
Delaware,15.85888460387135,3.9
Roger Mills,15.547471371625965,6.3
Cherokee,15.523384942848045,4.5
Hughes,15.441051004416954,5
Greer,15.391333926528391,8.3
Seminole,15.369813810931685,3.4999999999999996
Craig,15.355507456674564,4.6
Cimarron,15.345610998816978,11.000000000000002
Pittsburg,15.29885757196539,4
Caddo,15.176154551914156,3.4000000000000004
Muskogee,15.10462606459439,3.8
Sequoyah,15.081655285265159,3.5999999999999996
Ellis,15.002576437485812,6.9
Payne,14.741315475498723,4.9
Latimer,14.68280452251787,4.4
Okmulgee,14.597745976366072,3.2999999999999994
Kay,14.535124545766125,3.8
Le Flore,14.502807021414865,2.6
Harper,14.490913353836854,9.700000000000001
Stephens,14.46186073764707,3.5999999999999996
Mayes,14.353288754409046,3.7000000000000006
Ottawa,14.34941673682232,2.3
Atoka,14.108088077630681,4.1000000000000005
Washington,13.625105036882704,4
Jackson,13.459793997651119,4.4
Garfield,13.452366603621051,4.7
Love,13.324148998992236,5
Bryan,13.231430137020597,3
Grant,13.229195838970082,6.199999999999999
Pawnee,13.14228527218733,4
Logan,13.042977341451008,5.1
Garvin,13.040902382738834,3.4000000000000004
Comanche,12.990258998046844,2.5
Lincoln,12.822026781316817,2.9000000000000004
Pottawatomie,12.734156459575289,2.4
Washita,12.52924414141148,4.6
Oklahoma,12.527781551059313,1.2
Major,12.514783329947504,5.1
Woods,12.513992102746602,6.5
Osage,12.251202721113943,2.9000000000000004
Kingfisher,12.175664725682807,5.4
Pontotoc,11.962423882218287,2.9000000000000004
Tulsa,11.951061943412421,1
Creek,11.787587089437167,2.4
Carter,11.695645067402964,2.7999999999999994
Noble,10.970372845550454,6.1000000000000005
Grady,10.369116034102689,2.4
Wagoner,9.899104781874238,1.7999999999999998
Custer,9.800996278340046,4.2
Rogers,9.734307270370918,1.9
Cleveland,9.408794467032358,1.7000000000000002
Canadian,8.539401826151702,2.1
McClain,7.909285392897523,2
Beaver,7.621367958762329,4.9
