county,pov,moe
Baker,10.0,5.2
Benton,13.8,3.2
Clackamas,7.1,1.0
Clatsop,10.7,4.0
Columbia,10.3,3.3
Coos,24.6,4.9
Crook,10.1,5.3
Curry,9.4,5.1
Deschutes,10.9,2.1
Douglas,19.2,2.9
Gilliam,3.9,4.7
Grant,21.5,6.2
Harney,17.1,8.4
Hood River,5.3,2.8
Jackson,15.3,2.2
Jefferson,12.8,4.2
Josephine,20.2,3.8
Klamath,22.1,4.6
Lake,19.9,11.8
Lane,16.6,1.8
Lincoln,20.2,4.8
Linn,13.6,2.7
Malheur,23.9,6.5
Marion,16.1,1.9
Morrow,26.7,8.7
Multnomah,14.1,1.1
Polk,14.0,3.5
Sherman,17.5,7.7
Tillamook,17.0,4.8
Umatilla,13.7,3.3
Union,16.6,4.2
Wallowa,10.1,6.1
Wasco,11.5,3.4
Washington,9.3,1.1
Wheeler,8.8,8.4
Yamhill,15.1,3.3
