county,pov,moe
Morrow,24.582749455737137,8.7
Malheur,20.688118274224898,6.5
Lake,20.214310702664644,11.8
Coos,19.76057531040839,4.9
Grant,18.814077355545617,6.199999999999999
Harney,18.15103032599837,8.4
Sherman,17.953972437006133,7.7
Klamath,17.87698804288307,4.6
Lincoln,17.85679357683734,4.8
Josephine,17.29933290915812,3.8
Tillamook,16.199796110638705,4.8
Douglas,15.57852817161417,2.9000000000000004
Union,15.530460548835872,4.2
Yamhill,14.31379204360104,3.2999999999999994
Polk,14.100960019055625,3.4999999999999996
Jefferson,13.862092083618299,4.2
Wallowa,13.616176621866853,6.1000000000000005
Benton,13.607972263058471,3.2
Lane,13.555980068406793,1.7999999999999998
Umatilla,13.490711259968387,3.2999999999999994
Crook,13.400576904129382,5.3
Jackson,13.370622720135595,2.2
Marion,13.23067379506337,1.9
Wheeler,13.037124876293433,8.4
Clatsop,12.9379492788354,4
Wasco,12.892679704298974,3.4000000000000004
Linn,12.641952930262997,2.7
Baker,12.626586854011265,5.2
Curry,12.136133550296076,5.1
Columbia,11.99865476475717,3.2999999999999994
Multnomah,11.885219139702745,1.1
Deschutes,11.380621509105435,2.1
Washington,9.050340934827082,1.1
Hood River,8.276191495586795,2.7999999999999994
Clackamas,8.244240941738369,1
Gilliam,7.836013019827942,4.7
