county,pov,moe
Adams,11.6,2.3
Allegheny,14.5,0.9
Armstrong,12.8,3.2
Beaver,16.8,2.1
Bedford,13.1,2.4
Berks,17.9,1.5
Blair,17.8,2.9
Bradford,17.8,2.7
Bucks,6.8,0.8
Butler,7.7,1.4
Cambria,22.1,3.0
Cameron,19.8,9.0
Carbon,19.2,3.9
Centre,8.8,2.0
Chester,7.5,1.1
Clarion,14.9,2.7
Clearfield,20.5,3.2
Clinton,14.4,3.3
Columbia,18.1,3.6
Crawford,17.4,2.3
Cumberland,10.4,1.4
Dauphin,17.4,1.7
Delaware,13.3,1.3
Elk,11.9,3.6
Erie,21.5,2.3
Fayette,21.0,2.8
Forest,24.3,16.7
Franklin,14.6,2.6
Fulton,16.0,3.9
Greene,17.6,4.7
Huntingdon,17.3,3.2
Indiana,14.7,2.6
Jefferson,23.2,3.4
Juniata,12.8,4.0
Lackawanna,18.1,2.0
Lancaster,9.9,1.2
Lawrence,19.0,3.3
Lebanon,16.2,2.9
Lehigh,18.7,1.9
Luzerne,25.1,2.0
Lycoming,18.1,2.9
McKean,18.8,4.3
Mercer,21.7,2.8
Mifflin,28.0,6.2
Monroe,14.8,3.1
Montgomery,7.3,0.8
Montour,11.6,5.7
Northampton,13.1,1.6
Northumberland,17.7,2.9
Perry,10.9,2.4
Philadelphia,31.5,1.6
Pike,15.3,4.2
Potter,20.0,3.9
Schuylkill,16.9,2.6
Snyder,12.0,2.7
Somerset,15.4,2.4
Sullivan,25.7,7.9
Susquehanna,16.9,2.9
Tioga,18.2,2.6
Union,11.8,4.0
Venango,19.8,3.3
Warren,17.4,3.6
Washington,12.5,1.8
Wayne,15.0,3.5
Westmoreland,13.0,1.2
Wyoming,17.7,3.1
York,11.4,1.0
