county,pov,moe
Forest,27.970279749635456,16.7
Cameron,21.97133222624774,9
Philadelphia,21.764563749423917,1.6
Mifflin,21.464563749423917,6.199999999999999
Sullivan,21.194563749423917,7.9
Greene,18.602001382179093,4.7
McKean,18.309235569445015,4.300000000000001
Potter,17.99823582199722,3.9
Carbon,17.99799465505742,3.9
Pike,17.91609065884239,4.2
Fulton,17.811126557212567,3.9
Columbia,17.762759391519236,3.5999999999999996
Warren,17.724651483462942,3.5999999999999996
Jefferson,17.608798257955392,3.4000000000000004
Venango,17.53067816483343,3.2999999999999994
Lawrence,17.53042529280592,3.2999999999999994
Clearfield,17.452933622072774,3.2
Huntingdon,17.402695934127003,3.2
Wyoming,17.36159547594854,3.0999999999999996
Wayne,17.29844397031106,3.4999999999999996
Cambria,17.297172429316248,3
Lycoming,17.21601848575135,2.9000000000000004
Blair,17.21346084277526,2.9000000000000004
Northumberland,17.209131478935976,2.9000000000000004
Mercer,17.141356057070332,2.7999999999999994
Fayette,17.141333722978093,2.7999999999999994
Susquehanna,17.137275363272114,2.9000000000000004
Lebanon,17.083302676216466,2.9000000000000004
Bradford,17.05587166415075,2.7
Tioga,16.984296983612445,2.6
Schuylkill,16.92328993808274,2.6
Erie,16.751818913845437,2.3
Monroe,16.749317357502793,3.0999999999999996
Crawford,16.730143132809637,2.3
Somerset,16.61247858783828,2.4
Clarion,16.590589296183833,2.7
Luzerne,16.51811738795719,2
Lackawanna,16.5158618083669,2
Beaver,16.496286143234876,2.1
Lehigh,16.439354605567946,1.9
Dauphin,16.2574522426363,1.7000000000000002
Indiana,16.207991483209305,2.6
Berks,16.124651744601902,1.5
Franklin,15.985566588340872,2.6
Clinton,15.802935322751544,3.2999999999999994
Allegheny,14.530387057904628,0.8999999999999999
Bedford,14.196556300913718,2.4
Delaware,14.062066197575962,1.3
Northampton,13.07553505278003,1.6
Westmoreland,12.10610083857397,1.2
Armstrong,12.085394377962569,3.2
Juniata,11.26237537577344,4
Washington,9.417649754697337,1.7999999999999998
Snyder,8.551557471963756,2.7
Elk,7.644743471609382,3.5999999999999996
Union,6.72678138002867,4
Adams,5.79779261666936,2.3
Montour,5.380086210399655,5.699999999999999
York,4.7530981806005546,1
Perry,4.494210580229993,2.4
Cumberland,4.27934340937308,1.3999999999999997
Lancaster,4.151972195951657,1.2
Centre,4.078317293381669,2
Butler,4.033499327091012,1.3999999999999997
Chester,4.011667483303465,1.1
Montgomery,4.002659297730336,0.8
Bucks,4.00016240655566,0.8
