county,pov,moe
Allendale,27.069015894009024,20.1
McCormick,25.60737306206342,18.5
Dillon,25.224304635324856,8.9
Lee,24.174304635324855,10.3
Barnwell,23.124304635324854,8.600000000000001
Marion,18.847569775278743,7.500000000000001
Marlboro,18.300366569894138,7.3
Bamberg,17.695868421899416,8.200000000000001
Calhoun,17.316936737327023,9.1
Fairfield,17.121173032912232,9.3
Union,17.090824136315334,6.800000000000001
Georgetown,16.742495636976162,6.999999999999999
Williamsburg,16.477618432026706,8
Jasper,16.353957195898996,8.3
Hampton,16.16763007147865,6.800000000000001
Darlington,16.117580493106434,5.599999999999999
Clarendon,16.06993426589633,6.199999999999999
Orangeburg,15.41127060276899,4.1000000000000005
Chesterfield,15.075777388947229,5.3
Greenwood,14.895020767519807,4.6
Abbeville,14.439934881658353,5.599999999999999
Chester,14.384340751135325,6
Laurens,14.22085938471076,5
Colleton,13.980882925291713,6.4
Edgefield,13.75574545436323,5.699999999999999
Newberry,13.57234866746614,5.1
Cherokee,13.53645196385758,4.300000000000001
Saluda,12.710014660661543,6.1000000000000005
Florence,12.576360590298357,3.0999999999999996
Kershaw,12.402626239005622,3.8
Oconee,12.17947644424392,4.300000000000001
Anderson,11.457463918661444,2.6
Sumter,11.341005371553079,3
Richland,11.340845653043639,2.1
Dorchester,10.903677143235658,3.7000000000000006
Aiken,10.73753700307054,2.5
Horry,10.642815206796081,2.7
Beaufort,10.353049256611577,3
Lancaster,9.706420845070898,3.4000000000000004
Spartanburg,9.624682561686077,1.9
Charleston,9.500697165591998,2.2
Berkeley,8.888139899487655,2.2
Lexington,8.392908477174503,1.9
Greenville,7.7540176476604925,1.3999999999999997
Pickens,7.564709988242008,2.7999999999999994
York,6.149661509128836,1.7999999999999998
