county,pov,moe
Bennett,28.54048535911297,17.8
Jones,27.353586153993266,16.9
Faulk,26.182067051848467,15.2
Mellette,25.60519835343864,13.600000000000001
Douglas,25.594798152119452,15.1
Jackson,25.558840947137814,13.700000000000001
Fall River,23.12425177197355,11.600000000000001
Bon Homme,22.413935268002298,11.000000000000002
Buffalo,22.164627393908976,9.6
Tripp,21.947352273213216,9.1
Oglala Lakota,21.865716581636768,8.8
Lyman,21.10062816349732,8.3
Roberts,20.95132726253877,8.200000000000001
Ziebach,20.708020451310997,7.400000000000001
Charles Mix,20.537848727744006,8
Dewey,20.508362863238965,7.3
Walworth,20.211777138232616,9.1
Corson,20.116290709985,6.599999999999999
Todd,19.762258084998212,6.1000000000000005
Brule,19.709818564545568,7.7
Potter,19.461145781574196,10.1
Perkins,19.455263143351225,8.3
Day,19.41047990225809,7.1
Miner,18.96892788070036,9.8
Davison,18.75433569358692,6.800000000000001
Lake,18.213714033398304,7.1
Gregory,17.24749488819081,5.4
Clay,17.225480732908398,6.3
Spink,16.781062429094202,5.3
Haakon,16.7196533908031,8.3
Pennington,16.101034791356106,2.9000000000000004
Hutchinson,15.52021161805075,9
Brown,15.257695215055264,4.4
Turner,15.197246591184808,5.2
Custer,14.863547147386274,6.999999999999999
Moody,14.80844316897421,4.1000000000000005
Hughes,14.23663207367238,5.2
Jerauld,13.723976865844852,7.199999999999999
Hamlin,13.545055670855637,6
Codington,13.422800607917099,3.2
Hanson,13.041533555590542,7.7
Lawrence,12.001364567060142,4.5
Grant,11.906902695723385,6.199999999999999
Edmunds,11.58996765557412,7.8
Hyde,10.158553722290977,6.7
Beadle,9.847072773957729,4.5
Minnehaha,9.624236800329424,1.7999999999999998
Lincoln,8.340279955314102,2.7
Union,8.006995960740726,3
McCook,7.971223375730882,4.4
Yankton,7.508992798737264,4.4
Marshall,7.145758386967634,4.8
Kingsbury,6.530735305080469,4.1000000000000005
McPherson,6.090908103876863,4.1000000000000005
Aurora,5.607857173723064,3.8
Meade,5.148682554360043,3.4999999999999996
Sully,4.873615240491216,7.7
Brookings,4.81049501007286,3.9
Sanborn,4.0883375086968465,4.2
Clark,3.718709611351629,4
Deuel,3.3094726145283895,2.7999999999999994
Butte,3.0369759429262237,3.0999999999999996
Hand,2.8137240481572943,4.300000000000001
Campbell,2.537184794073935,3.7000000000000006
Stanley,2.321714558892011,4.5
Harding,2.0973123871121055,1.9
