county,pov,moe
Anderson,18.1,4.2
Bedford,21.2,5.3
Benton,21.6,6.9
Bledsoe,41.8,11.1
Blount,9.8,2.0
Bradley,16.8,3.3
Campbell,22.5,5.3
Cannon,19.1,7.8
Carroll,22.7,6.4
Carter,27.4,5.7
Cheatham,9.3,3.5
Chester,22.4,7.0
Claiborne,20.8,5.5
Clay,18.1,8.0
Cocke,34.8,8.0
Coffee,23.8,4.7
Crockett,26.4,6.8
Cumberland,13.8,3.1
Davidson,22.7,1.7
Decatur,24.6,9.3
DeKalb,28.3,9.7
Dickson,13.0,4.1
Dyer,15.4,5.3
Fayette,18.5,5.6
Fentress,26.5,8.9
Franklin,22.1,5.2
Gibson,16.3,4.0
Giles,17.0,4.2
Grainger,25.1,5.7
Greene,23.0,5.2
Grundy,21.4,6.3
Hamblen,24.4,4.6
Hamilton,18.1,2.0
Hancock,45.7,11.3
Hardeman,23.9,7.3
Hardin,25.1,6.7
Hawkins,25.5,4.3
Haywood,32.7,8.3
Henderson,19.8,6.5
Henry,28.0,6.2
Hickman,20.7,7.6
Houston,12.8,6.8
Humphreys,17.1,5.6
Jackson,24.7,8.6
Jefferson,16.3,4.8
Johnson,37.4,10.5
Knox,13.9,1.5
Lake,37.8,10.6
Lauderdale,24.2,6.7
Lawrence,20.0,4.1
Lewis,23.7,11.6
Lincoln,13.8,4.6
Loudon,22.1,7.0
McMinn,18.4,4.9
McNairy,16.9,4.9
Macon,21.1,7.5
Madison,28.3,4.2
Marion,20.4,6.5
Marshall,22.5,6.6
Maury,11.8,2.4
Meigs,14.2,7.1
Monroe,21.7,5.2
Montgomery,16.0,2.3
Moore,6.6,4.8
Morgan,31.2,7.6
Obion,19.6,4.7
Overton,18.7,6.3
Perry,22.8,12.3
Pickett,28.3,19.3
Polk,15.8,5.2
Putnam,21.3,3.8
Rhea,22.4,6.2
Roane,16.7,5.3
Robertson,13.6,3.0
Rutherford,11.1,1.6
Scott,34.9,6.4
Sequatchie,41.1,9.5
Sevier,20.2,3.6
Shelby,27.0,1.3
Smith,18.7,5.9
Stewart,15.4,7.3
Sullivan,24.9,3.8
Sumner,13.1,2.3
Tipton,15.6,4.1
Trousdale,17.0,11.5
Unicoi,25.2,10.0
Union,22.8,8.5
Van Buren,15.8,9.4
Warren,25.3,5.7
Washington,17.8,3.5
Wayne,24.5,6.5
Weakley,25.6,6.0
White,21.8,6.6
Williamson,3.4,0.8
Wilson,9.6,2.0
