county,pov,moe
Pickett,28.733161576189648,19.3
Hancock,23.813363337783578,11.3
Bledsoe,23.657551597291832,11.1
Lake,23.05863247644479,10.6
Johnson,22.84824713192868,10.5
Sequatchie,22.411057673357877,9.5
DeKalb,21.76553430609204,9.700000000000001
Perry,21.110126867696216,12.3
Unicoi,20.99127984682161,10
Lewis,20.898442180229292,11.600000000000001
Haywood,20.88198605418983,8.3
Cocke,20.740223424910173,8
Fentress,20.654885893777006,8.9
Morgan,20.270087335835115,7.6
Decatur,20.00279344302849,9.3
Jackson,19.615205626156886,8.600000000000001
Scott,19.606791771588757,6.4
Crockett,19.04058724499748,6.800000000000001
Henry,18.912210975946543,6.199999999999999
Union,18.485828061795505,8.5
Carter,18.467586893800377,5.699999999999999
Hardin,18.466382273523703,6.7
Weakley,18.38055522066217,6
Hardeman,18.225367525079054,7.3
Warren,18.005827358333576,5.699999999999999
Wayne,17.96756481568273,6.5
Lauderdale,17.91595211016239,6.7
Grainger,17.843673244383663,5.699999999999999
Madison,17.56873749791926,4.2
Hawkins,17.076945323068998,4.300000000000001
Carroll,17.00148664504156,6.4
Chester,16.93212029434579,6.999999999999999
Marshall,16.795690974403467,6.599999999999999
Hamblen,16.57067765910207,4.6
Loudon,16.563501288990302,6.999999999999999
Greene,16.518787593256583,5.2
Coffee,16.372331406662784,4.7
Sullivan,16.342960777652518,3.8
Rhea,16.31024744614909,6.199999999999999
White,16.1915350262714,6.599999999999999
Benton,16.11302472188377,6.9
Campbell,16.075613822117504,5.3
Macon,15.903361908959468,7.500000000000001
Hickman,15.657554930427267,7.6
Grundy,15.621921609067876,6.3
Franklin,15.57008194365963,5.2
Monroe,15.216218147106808,5.2
Shelby,15.163406963062107,1.3
Marion,14.888413905213113,6.5
Cannon,14.774245778956049,7.8
Bedford,14.76928839208873,5.3
Claiborne,14.61407928990193,5.500000000000001
Henderson,14.42199180513607,6.5
Trousdale,14.186025468315036,11.5
Putnam,14.017791555486092,3.8
Davidson,13.853933168576155,1.7000000000000002
Overton,13.822671894431219,6.3
Clay,13.740191257963136,8
Smith,13.448489337880115,5.9
Obion,13.3061534417916,4.7
Lawrence,13.275581436616376,4.1000000000000005
Sevier,13.139651247432466,3.5999999999999996
Fayette,13.126773678014041,5.599999999999999
McMinn,12.60896713045321,4.9
Anderson,12.09852094339841,4.2
Humphreys,12.030058474276746,5.599999999999999
Washington,11.257574878739684,3.4999999999999996
Giles,11.213536064587087,4.2
Van Buren,11.164930956185401,9.4
McNairy,11.127205891817688,4.9
Roane,10.874117877408983,5.3
Hamilton,10.72612144747776,2
Bradley,10.259335296304336,3.2999999999999994
Jefferson,10.238368039095247,4.8
Gibson,10.14211607472245,4
Polk,9.927811557416437,5.2
Stewart,9.587147657814905,7.3
Meigs,9.23021725211212,7.1
Dyer,9.216586646684396,5.3
Montgomery,9.078797094731495,2.3
Tipton,9.063810527233265,4.1000000000000005
Lincoln,7.629254415343676,4.6
Cumberland,7.500295443079096,3.0999999999999996
Knox,7.293120333085734,1.5
Robertson,6.928149086439231,3
Houston,6.80701615249686,6.800000000000001
Dickson,6.584045270381486,4.1000000000000005
Sumner,6.475065737253491,2.3
Maury,5.585359041595877,2.4
Rutherford,5.111266786948736,1.6
Blount,4.826549019215173,2
Wilson,4.44412306146081,2
Cheatham,4.182248056490002,3.4999999999999996
Moore,3.754979998699706,4.8
Williamson,2.8109098824114493,0.8
