county,pov,moe
Jeff Davis,49.102237646231295,43.8
Culberson,41.43098596179217,31.300000000000004
Edwards,40.84236208120013,33.2
Kinney,38.50739827640886,30.2
Presidio,36.37111029521726,23.5
Real,32.50603538873474,22.499999999999996
Concho,30.71386967174366,20.2
Brooks,30.56029981490655,20
Cottle,29.700667001614868,18.9
Roberts,29.043636799724275,20.6
Throckmorton,28.345330483321025,17.200000000000003
Dimmit,28.167669994579615,16
Hudspeth,27.83477795493694,16.7
Foard,27.83440479905633,16.499999999999996
Jim Hogg,27.75636265945995,16.400000000000002
Upton,27.13724395568159,15.7
La Salle,27.04693948328929,15.5
Sutton,26.955134228695105,16.2
Swisher,26.275415427492945,14.499999999999998
Duval,26.094609540167163,14.299999999999999
Pecos,25.807169291475862,13.899999999999999
Frio,25.798792299511675,13.899999999999999
San Augustine,25.41477676944199,13.4
Reeves,25.240951228722764,13.199999999999998
McMullen,25.164501310659237,20.6
Young,24.68742469464786,12.6
Coleman,24.595350116238652,13
Zavala,24.484512736219727,12.200000000000001
Garza,24.40215158174298,12.3
Menard,23.95404094796596,16.400000000000002
Marion,23.917386524909247,11.700000000000001
Cochran,23.5978013178821,11.1
Collingsworth,23.386447013666032,11.199999999999998
Karnes,23.306007678140062,10.7
Wheeler,23.161051540688245,10.8
Refugio,23.156490432779584,10.7
Live Oak,23.104557290888998,10.5
Aransas,22.89250633665136,10.2
Martin,22.78948249954073,10.2
Dawson,22.757317749341382,10
Hall,22.7241003101101,10
Terry,22.689255584990335,9.9
Zapata,22.614756062074274,9.8
Camp,22.164188846097474,9.3
Crosby,22.1463999646284,9.2
Lynn,22.112210488287158,9.2
Kleberg,21.991094570222685,9
Stephens,21.96773034943377,9.2
Jack,21.779394331476272,9.6
San Saba,21.750291070122564,9
Yoakum,21.684318195933695,11.000000000000002
Deaf Smith,21.458824861779277,9.5
Tyler,21.34003550696256,8.200000000000001
Newton,21.129842535329253,7.9
Uvalde,21.124890479376436,7.9
Wilbarger,20.89803266514364,7.7
Matagorda,20.886433874951795,7.6
San Jacinto,20.636571766982005,7.500000000000001
Jasper,20.423143872660788,6.999999999999999
Willacy,20.41802710248294,6.999999999999999
Jim Wells,20.350410979081467,6.9
Trinity,20.218111559950184,7.7
Bee,20.205919232120316,6.800000000000001
Llano,20.182209576279103,7.6
Maverick,20.10187440437812,6.599999999999999
Bandera,20.07369860020514,8.8
Panola,19.972425439009097,6.800000000000001
Limestone,19.95376099401033,6.4
Shelby,19.803899194945572,6.199999999999999
Red River,19.67673293477798,6.1000000000000005
Lamb,19.577579369008003,8.200000000000001
Hale,19.570058966179644,6.1000000000000005
Winkler,19.447854675217105,9.2
Starr,19.420368590326518,5.699999999999999
Milam,19.392455888505307,7.6
Cass,19.38901538179493,5.699999999999999
Houston,19.175680031628666,5.800000000000001
Morris,19.05334366481536,8.1
Titus,19.04778157958794,5.3
Comanche,18.976689534784157,7.7
Anderson,18.888892247786394,5.4
Cooke,18.810378205066492,5.2
Grimes,18.759302921676767,6.599999999999999
Harrison,18.692856175152368,5
Floyd,18.67943211005291,9
Gray,18.616842468939897,5.800000000000001
Sabine,18.55626102498593,7.500000000000001
Liberty,18.539422166623623,4.9
Archer,18.442644385205888,5.9
Walker,18.286485063148604,4.5
Oldham,18.157880804825457,9.4
Ward,18.05923524915098,7.400000000000001
Delta,18.004487792924824,7.500000000000001
Polk,17.927650234338937,3.9
Leon,17.912466680531804,6
Potter,17.909970202940993,3.8
Nacogdoches,17.888578081106047,3.8
Cherokee,17.86975788368293,4.4
Henderson,17.830492345086483,4.1000000000000005
Rusk,17.747550456378242,5
Lamar,17.694144479969538,4
Navarro,17.675446525243625,4.4
Victoria,17.672451139729137,4.300000000000001
Angelina,17.6241829995877,4
Palo Pinto,17.580665693832124,5.4
San Patricio,17.573612208451127,3.9
Ector,17.489044836470164,3.7000000000000006
