county,pov,moe
San Juan,25.851010093930395,4.6
Piute,25.851010093930395,13.8
Garfield,25.851010093930395,10.4
Grand,19.182719430012245,7.400000000000001
Carbon,18.763254492023187,6.599999999999999
Sanpete,18.497180739006925,6
Kane,17.899126394678895,7.500000000000001
Emery,17.387663294120294,5.500000000000001
Millard,17.26325408830538,5.599999999999999
Duchesne,16.977494846327193,4.7
Sevier,15.836547791093928,4.2
Uintah,15.020928484853313,3.7000000000000006
Iron,14.894266240352271,3.9
Juab,14.739352592947228,4.1000000000000005
Cache,14.54349593576832,2.1
Rich,13.984091344501262,7.199999999999999
Wayne,13.387991737550358,7.3
Washington,13.087415798516671,2
Weber,12.47183194546522,1.5
Box Elder,12.137414827971762,2.1
Salt Lake,11.726559863341587,0.8
Davis,11.396800686946753,1.5
Beaver,9.814362383352284,4.5
Wasatch,9.719752763597505,2.4
Utah,9.54288879327606,0.658
Tooele,7.870536673171944,1.6
Summit,7.00502571941178,1.9
Morgan,5.696528353918547,1.3999999999999997
Daggett,4.1004844976978525,1.7000000000000002
