fips,county,pov,moe
51720,Norton,31.981015938870716,21.7
51017,Bath,31.313722693635814,21.800000000000004
51530,Buena Vista,27.555256146895367,16.8
51580,Covington,25.321068354680666,13.700000000000001
51133,Northumberland,24.216847035242832,12.3
51620,Franklin,23.39996582288572,11.3
51640,Galax,23.24031308266732,11.1
51097,King and Queen,23.21148995713195,10.4
51057,Essex,23.038991223151218,10.8
51105,Lee,22.938980522223005,10.1
51181,Surry,22.621373776830918,10.5
51025,Brunswick,22.513457871575532,10
51690,Martinsville,21.940242674385168,9.2
51630,Fredericksburg,21.874029407304903,9.1
51051,Dickenson,21.782632711879796,9.1
51131,Northampton,21.620708029823245,8.8
51730,Petersburg,21.58071127470479,8.7
51103,Lancaster,21.177820243159616,8.5
51077,Grayson,20.90746422351602,8
51520,Bristol,20.856171083098403,8.1
51193,Westmoreland,20.689097881473348,7.9
51027,Buchanan,20.6806609414068,7.500000000000001
51750,Radford,20.501913463525895,7.6
51670,Hopewell,20.44827807671301,7.3
51590,Danville,20.309090155882053,6.999999999999999
51037,Charlotte,20.189682754869327,6.999999999999999
51197,Wythe,20.0682311044081,6.9
51173,Smyth,20.041482033729157,6.9
51820,Waynesboro,19.707200611360093,6.4
51195,Wise,19.492502595006204,6.1000000000000005
51117,Mecklenburg,19.36834764006819,5.9
51011,Appomattox,19.260000340716754,5.9
51840,Winchester,19.15920468278044,5.699999999999999
51540,Charlottesville,19.10790396750856,5.599999999999999
51001,Accomack,18.85713566970945,5.3
51185,Tazewell,18.83475807553677,5.2
51067,Franklin,18.424994939363117,4.7
51089,Henry,18.389102265132752,4.7
51595,Emporia,18.37361312462282,13.5
51770,Roanoke,18.327365254097195,4.5
51740,Portsmouth,18.150111993281463,4.300000000000001
51115,Mathews,18.038255421440468,15.000000000000002
51183,Sussex,17.964464978282294,9.4
51760,Richmond,17.77625965851435,3.7000000000000006
51143,Pittsylvania,17.75458070088794,3.8
51045,Craig,17.626295931161998,12.699999999999998
51147,Prince Edward,17.04175228295024,6.800000000000001
51710,Norfolk,16.975363067904098,2.7
51081,Greensville,16.326547559407043,12.5
51137,Orange,16.286295895803764,5.699999999999999
51680,Lynchburg,16.165183563082355,4.1000000000000005
51021,Bland,15.833051237474677,12.3
51033,Caroline,15.775425362579107,7.1
51035,Carroll,15.66799351354975,6.7
51169,Scott,15.565838297034892,5.699999999999999
51660,Harrisonburg,15.491913388774142,4.9
51187,Warren,15.468948461253307,5.1
51029,Buckingham,15.32370447485468,5.9
51650,Hampton,15.321672480320963,3.4000000000000004
51155,Pulaski,15.257600761267526,5.4
51036,Charles City,14.991028621205057,6.800000000000001
51091,Highland,14.988784872865308,11.5
51171,Shenandoah,14.93961819284688,5.1
51111,Lunenburg,14.746043598336541,6.9
51079,Greene,14.66462319402936,5.9
51167,Russell,14.559276019171858,5.9
51135,Nottoway,14.534365087057719,5.2
51007,Amelia,14.428914094422844,7.400000000000001
51005,Alleghany,14.221348931394854,7.199999999999999
51570,Colonial Heights,14.107623539722045,6
51157,Rappahannock,13.937063417974052,8.8
51083,Halifax,13.741013128581264,4.300000000000001
51700,Newport News,13.436171406933079,2.7999999999999994
51053,Dinwiddie,13.25240826728973,5.2
51775,Salem,12.93653138005581,5.9
51163,Rockbridge,12.70261891318873,6.999999999999999
51093,Isle of Wight,12.56868103901888,4.1000000000000005
51125,Nelson,12.446450097109794,7.1
51121,Montgomery,12.429659957903244,3.5999999999999996
51830,Williamsburg,12.340991972607556,7.1
51009,Amherst,12.158501213666348,4.7
51678,Lexington,12.096506127168471,13.600000000000001
51071,Giles,11.789491881022867,5.4
51019,Bedford,11.763321033558777,4.7
51015,Augusta,11.685009646729533,3.9
51101,King William,11.37557438540175,5.1
51191,Washington,11.35446444104424,3.0999999999999996
51109,Louisa,11.185559274227586,4.1000000000000005
51510,Alexandria,10.909147381648433,2.9000000000000004
51073,Gloucester,10.836911740020078,4.9
51800,Suffolk,10.5615180265838,3
51685,Manassas Park,10.552020160325256,6.9
51175,Southampton,10.28892227368975,4.4
51141,Patrick,10.132715132235958,5.2
51149,Prince George,10.09880408049377,4
51119,Middlesex,10.031559071403457,4.300000000000001
51063,Floyd,9.879297564843222,5.3
51031,Campbell,9.748721939651386,3
51049,Cumberland,9.599495194933086,6
51600,Fairfax,9.528237099075385,4.4
51087,Henrico,9.434151830496258,1.7000000000000002
51113,Madison,9.39684959077269,6.599999999999999
51790,Staunton,9.07358781906259,3.8
51095,James City,8.95432962777744,2.7
51177,Spotsylvania,8.730376006628875,2.4
51099,King George,8.722533047590293,4
51139,Page,8.657333326959076,3.7000000000000006
51165,Rockingham,8.584032598161492,2.4
51047,Culpeper,8.575015404496986,3.9
51810,Virginia Beach,8.526628882552409,1.3999999999999997
51550,Chesapeake,8.404919117535888,1.7999999999999998
51069,Frederick,8.057963078246603,2
51065,Fluvanna,7.961085477912904,5.2
51003,Albemarle,7.708966377674815,2.3
51023,Botetourt,7.652893134960069,3.5999999999999996
51735,Poquoson,7.353632898316483,5.1
51041,Chesterfield,7.305825661287171,1.1
51161,Roanoke,7.29401434153102,2.3
51153,Prince William,7.10140093791604,1.2
51061,Fauquier,6.971884701343215,2.1
51059,Fairfax,6.788913655043043,0.6999999999999998
51145,Powhatan,6.784071033121071,3.8
51085,Hanover,6.675520487167004,1.6
51043,Clarke,6.5989440115925735,4.2
51013,Arlington,6.58104769891463,1.6
51179,Stafford,6.482946136690784,1.6
51683,Manassas,6.413175659798427,2.9000000000000004
51199,York,5.922638857122766,1.7000000000000002
51127,New Kent,5.741300201654173,2.6
51107,Loudoun,5.686202513299972,0.8
51075,Goochland,5.511474434324803,2.4
51159,Richmond,5.357104450945174,3.2
51610,Falls Church,4.806156918267555,1.2
