county,pov,moe
King and Queen,34.91557384335431,10.4
Lee,33.41557384335431,10.1
Norton,32.06557384335431,21.7
Bath,31.941012023056192,21.800000000000004
Buena Vista,28.04539610643271,16.8
Covington,25.63278372683568,13.700000000000001
Northumberland,24.54106911843778,12.3
Emporia,23.908042469455566,13.5
Franklin,23.75747700920186,11.3
Galax,23.600363264194936,11.1
Essex,23.369191359828584,10.8
Surry,23.036420761069635,10.5
Mathews,22.784490296234516,15.000000000000002
Brunswick,22.74995291323113,10
Craig,22.604858167179575,12.699999999999998
Martinsville,22.127178501502623,9.2
Fredericksburg,22.049346906086388,9.1
Dickenson,22.045992377818628,9.1
Sussex,21.909214396338303,9.4
Northampton,21.815307529034296,8.8
Petersburg,21.737771392034762,8.7
Lancaster,21.498474018340694,8.5
Grayson,21.179079913551707,8
Bristol,21.1332797189258,8.1
Westmoreland,20.918663420770443,7.9
Buchanan,20.802928022914728,7.500000000000001
Radford,20.762638385006913,7.6
Hopewell,20.644634226854443,7.3
Danville,20.41340954075625,6.999999999999999
Charlotte,20.406067678231615,6.999999999999999
Wythe,20.310852824298113,6.9
Smyth,20.290716381733123,6.9
Prince Edward,19.992916642346295,6.800000000000001
Waynesboro,19.925438515602384,6.4
Wise,19.69506246369853,6.1000000000000005
Caroline,19.602058853064047,7.1
Mecklenburg,19.54801791391958,5.9
Appomattox,19.416702554350103,5.9
Carroll,19.39294253417751,6.7
Winchester,19.351998303912538,5.699999999999999
Charlottesville,19.295741049084707,5.599999999999999
Orange,19.11942953990977,5.699999999999999
Accomack,19.026297122387227,5.3
Tazewell,18.99721095338534,5.2
Scott,18.910652439407947,5.699999999999999
Buckingham,18.8750283176511,5.9
Charles City,18.66400033576686,6.800000000000001
Pulaski,18.62952340611072,5.4
Franklin,18.568534765249712,4.7
Warren,18.55138877734965,5.1
Henry,18.47319218271608,4.7
Roanoke,18.456338134284607,4.5
Greensville,18.443320305540734,12.5
Harrisonburg,18.439263229510008,4.9
Shenandoah,18.34458169971729,5.1
Greene,18.30141171407845,5.9
Portsmouth,18.280644955142467,4.300000000000001
Lunenburg,18.210592177099187,6.9
Russell,18.172251520573553,5.9
Nottoway,18.11443870389602,5.2
Lynchburg,17.97167914294976,4.1000000000000005
Richmond,17.841853875728297,3.7000000000000006
Pittsylvania,17.83459717688244,3.8
Hampton,17.411512719381363,3.4000000000000004
Colonial Heights,17.405401122737175,6
Halifax,17.364066550761713,4.300000000000001
Amelia,17.03951792128486,7.400000000000001
Norfolk,17.032453507628674,2.7
Newport News,16.766346251787336,2.7999999999999994
Alleghany,16.606273368130704,7.199999999999999
Bland,16.324584928080622,12.3
Dinwiddie,16.21840222307152,5.2
Montgomery,16.13317971853178,3.5999999999999996
Isle of Wight,15.945645708945385,4.1000000000000005
Washington,14.664599203620638,3.0999999999999996
Salem,14.121658167690837,5.9
Augusta,14.077190583192515,3.9
Amherst,13.865220648897916,4.7
Alexandria,13.794176586904802,2.9000000000000004
Highland,13.23678680922076,11.5
Rappahannock,12.756411090780073,8.8
Bedford,12.386050872898178,4.7
Suffolk,12.319971127966836,3
Louisa,11.73614154866382,4.1000000000000005
Rockbridge,10.703738428458692,6.999999999999999
Giles,10.612322192316892,5.4
Henrico,10.377665854755652,1.7000000000000002
King William,9.693329227957962,5.1
Nelson,9.418799106403206,7.1
Williamsburg,9.002939383589558,7.1
Campbell,8.715049311505219,3
Gloucester,8.123715384332026,4.9
Prince George,7.599965358520391,4
Southampton,7.35994040041838,4.4
Middlesex,6.7558018310781,4.300000000000001
Virginia Beach,6.560224343264384,1.3999999999999997
James City,6.272105046524465,2.7
Spotsylvania,6.00802319243637,2.4
Chesapeake,5.734809194622828,1.7999999999999998
Patrick,5.674997257842881,5.2
Rockingham,5.6083829052965575,2.4
Fairfax,5.423721592753726,4.4
Staunton,5.21698993585374,3.8
Floyd,5.161052899309694,5.3
Manassas Park,4.962358946517396,6.9
Frederick,4.844504850524917,2
Page,4.709207874033318,3.7000000000000006
King George,4.624513597645165,4
Culpeper,4.535411305816897,3.9
Cumberland,4.513104675080608,6
Lexington,4.433186939385248,13.600000000000001
Albemarle,4.3573167790161875,2.3
Chesterfield,4.281216533444626,1.1
Madison,4.271597294126425,6.599999999999999
Prince William,4.1672820466457186,1.2
Roanoke,4.148436183360292,2.3
Botetourt,4.131560664305735,3.5999999999999996
Fairfax,4.0894932180221115,0.6999999999999998
Fauquier,4.07894491913625,2.1
Fluvanna,4.074957352492542,5.2
Hanover,4.047943018622801,1.6
Arlington,4.037155485530408,1.6
Stafford,4.028300906974666,1.6
Poquoson,4.025835652613755,5.1
Powhatan,4.01753093691308,3.8
Manassas,4.011753182118078,2.9000000000000004
Clarke,4.008593297004634,4.2
York,4.004787016930676,1.7000000000000002
Loudoun,4.0027158391940185,0.8
New Kent,4.001652184887739,2.6
Goochland,4.000748288093192,2.4
Richmond,4.000257971557099,3.2
Falls Church,4.0000262476754544,1.2
