county,pov,moe
Essex,21.514545350365776,7.7
Bennington,18.930188377338123,5
Windham,18.504709206606645,4.300000000000001
Caledonia,17.55708644551695,3.4000000000000004
Washington,17.44916993933265,3.2
Franklin,16.995711733119034,2.7
Orange,16.961676483442005,2.7
Orleans,14.083200214900945,2.4
Rutland,12.933503782311414,2.7
Windsor,11.037188816594863,3
Chittenden,11.02242806525195,1.7999999999999998
Lamoille,10.042573787171701,3.0999999999999996
Addison,8.369444099992194,2.1
Grand Isle,7.598573698055716,4.300000000000001
