county,pov,moe
Adams,28.3,7.4
Asotin,22.6,4.9
Benton,15.0,2.0
Chelan,12.8,3.3
Clallam,14.0,3.4
Clark,10.9,1.3
Columbia,6.8,5.2
Cowlitz,16.1,2.7
Douglas,9.5,3.1
Ferry,18.3,6.3
Franklin,17.3,3.2
Garfield,16.1,13.3
Grant,18.2,3.7
Grays Harbor,22.1,4.3
Island,6.6,2.2
Jefferson,29.7,7.3
King,9.3,0.6
Kitsap,10.5,1.5
Kittitas,15.2,4.8
Klickitat,15.3,6.9
Lewis,14.4,2.9
Lincoln,18.3,7.7
Mason,18.3,4.6
Okanogan,28.0,4.9
Pacific,14.6,4.2
Pend Oreille,17.3,5.4
Pierce,10.2,0.8
San Juan,13.6,3.5
Skagit,17.7,3.1
Skamania,8.1,4.3
Snohomish,8.8,0.9
Spokane,13.8,1.5
Stevens,17.4,4.5
Thurston,11.0,1.8
Wahkiakum,17.5,11.8
Walla Walla,9.8,2.5
Whatcom,13.3,2.2
Whitman,10.2,3.1
Yakima,20.5,2.4
