county,pov,moe
Jefferson,21.519532983012706,7.3
Adams,21.472983645001037,7.400000000000001
Okanogan,19.24109662576054,4.9
Lincoln,18.69408858691083,7.7
Ferry,18.29215160773498,6.3
Asotin,18.28571825250944,4.9
Grays Harbor,17.653771880141775,4.300000000000001
Yakima,16.36353452800994,2.4
Wahkiakum,16.16629856220104,11.8
Garfield,16.104516828632857,13.3
Mason,14.792114931107994,4.6
Klickitat,14.485679308252413,6.9
Grant,14.332881142505649,3.7000000000000006
Pend Oreille,14.30826917234784,5.4
Stevens,14.227389015448672,4.5
Skagit,14.050493219455415,3.0999999999999996
Kittitas,13.920337382728798,4.8
Franklin,13.82791456517038,3.2
Pacific,13.667656023261065,4.2
Cowlitz,13.57856576961925,2.7
Clallam,13.372982604920667,3.4000000000000004
Lewis,13.306957950259546,2.9000000000000004
San Juan,13.290189940084742,3.4999999999999996
Benton,13.19410934558082,2
Chelan,13.133835509061264,3.2999999999999994
Whatcom,12.936418787234496,2.2
Spokane,12.876715563305153,1.5
Whitman,12.769302359255377,3.0999999999999996
Thurston,12.735950191684688,1.7999999999999998
Douglas,12.603281410452905,3.0999999999999996
Clark,12.565849660184231,1.3
Walla Walla,12.56089112205941,2.5
Kitsap,12.551055191020671,1.5
Skamania,12.478367466365986,4.300000000000001
Columbia,12.43657140714405,5.2
Pierce,12.332342518183276,0.8
King,11.987770939293688,0.658
Snohomish,11.928214446576806,0.8999999999999999
Island,11.4541995575195,2.2
