county,pov,moe
Adams,21.9,4.3
Ashland,17.6,4.5
Barron,16.5,3.8
Bayfield,16.2,3.8
Brown,12.3,1.5
Buffalo,8.7,2.7
Burnett,13.9,2.7
Calumet,6.5,1.6
Chippewa,13.2,2.8
Clark,17.7,3.1
Columbia,8.4,2.2
Crawford,19.6,5.7
Dane,8.7,1.1
Dodge,9.5,2.3
Door,14.0,4.9
Douglas,13.9,3.4
Dunn,8.4,2.4
Eau Claire,9.6,2.5
Florence,10.6,4.4
Fond du Lac,12.5,2.9
Forest,19.5,5.0
Grant,14.8,3.0
Green,8.2,2.3
Green Lake,21.0,5.6
Iowa,9.1,1.8
Iron,14.6,4.8
Jackson,15.4,3.1
Jefferson,9.2,2.3
Juneau,15.4,2.4
Kenosha,14.6,2.4
Kewaunee,6.9,2.6
La Crosse,6.2,1.8
Lafayette,13.1,3.5
Langlade,13.2,4.7
Lincoln,12.7,2.9
Manitowoc,13.5,2.4
Marathon,9.8,1.6
Marinette,11.1,3.6
Marquette,13.6,3.4
Menominee,30.8,10.7
Milwaukee,25.0,1.2
Monroe,14.5,3.1
Oconto,8.3,1.8
Oneida,11.6,3.5
Outagamie,8.4,1.3
Ozaukee,4.7,1.5
Pepin,10.8,3.9
Pierce,7.2,2.8
Polk,11.2,2.3
Portage,9.6,2.0
Price,24.4,5.3
Racine,15.9,2.2
Richland,24.0,5.5
Rock,14.1,1.8
Rusk,16.0,4.4
St. Croix,6.0,1.6
Sauk,11.2,2.2
Sawyer,19.7,5.2
Shawano,12.5,2.1
Sheboygan,9.6,2.3
Taylor,9.7,2.3
Trempealeau,7.3,1.6
Vernon,22.6,4.4
Vilas,18.3,4.2
Walworth,9.9,2.1
Washburn,16.1,3.2
Washington,5.1,1.3
Waukesha,5.7,0.9
Waupaca,10.2,2.3
Waushara,16.0,3.1
Winnebago,13.5,2.0
Wood,11.8,2.2
