county,pov,moe
Menominee,23.345928116308347,10.7
Richland,19.179572272763075,5.500000000000001
Price,19.139011123031235,5.3
Green Lake,19.10477376741147,5.599999999999999
Crawford,19.092711890295526,5.699999999999999
Sawyer,18.753417027391556,5.2
Forest,18.51392191774178,5
Vernon,18.27082285495876,4.4
Adams,18.147689260263522,4.300000000000001
Ashland,18.002506780630377,4.5
Vilas,17.861352807050633,4.2
Rusk,17.7410045897062,4.4
Iron,17.71354546735419,4.8
Door,17.530718946677712,4.9
Barron,17.429026380733088,3.8
Bayfield,17.38451548345664,3.8
Clark,16.983616316159246,3.0999999999999996
Washburn,16.888516523597232,3.2
Langlade,16.847834921971362,4.7
Waushara,16.721690287089466,3.0999999999999996
Jackson,16.62455130272288,3.0999999999999996
Grant,16.447807252522,3
Monroe,16.35386822577198,3.0999999999999996
Douglas,16.31714098813283,3.4000000000000004
Marquette,16.247675703039526,3.4000000000000004
Juneau,16.056844618097877,2.4
Racine,16.004659413894785,2.2
Milwaukee,15.944870442950467,1.2
Lafayette,15.92878098332317,3.4999999999999996
Kenosha,15.900363896397002,2.4
Burnett,15.881642332817536,2.7
Chippewa,15.603590684647738,2.7999999999999994
Manitowoc,15.468148898400983,2.4
Lincoln,15.42908316175616,2.9000000000000004
Rock,15.352681456352474,1.7999999999999998
Oneida,15.348901308311472,3.4999999999999996
Fond du Lac,15.34105909118838,2.9000000000000004
Florence,15.30870176948746,4.4
Pepin,15.128121879770653,3.9
Winnebago,15.115693116275214,2
Marinette,15.064125658974875,3.5999999999999996
Shawano,14.706884222066515,2.1
Wood,14.586949794102871,2.2
Polk,14.44857809393058,2.3
Sauk,14.274006760889343,2.2
Brown,14.2114139501461,1.5
Waupaca,13.848905431637244,2.3
Walworth,13.58762647282773,2.1
Taylor,13.41500225213687,2.3
Eau Claire,13.374049054902631,2.5
Marathon,13.139261912936542,1.6
Portage,12.911073417473338,2
Sheboygan,12.90894610395254,2.3
Dodge,12.721029768075526,2.3
Jefferson,12.52206106482809,2.3
Buffalo,12.299730656118568,2.7
Iowa,12.038733342816391,1.7999999999999998
Columbia,11.541732246192652,2.2
Dunn,11.368198300152649,2.4
Dane,11.223576557489478,1.1
Outagamie,10.548563143438475,1.3
Oconto,10.478366382369526,1.7999999999999998
Green,10.36503646883642,2.3
Pierce,9.781777072469314,2.7999999999999994
Trempealeau,9.695806734374754,1.6
Kewaunee,9.242079113558445,2.6
Calumet,8.37941422878093,1.6
La Crosse,7.893422771249714,1.7999999999999998
St. Croix,7.195083244737889,1.6
Waukesha,6.269667968909562,0.8999999999999999
Washington,5.430709338884868,1.3
Ozaukee,4.0718252102875665,1.5
