county,pov,moe
Calhoun,34.26286801803301,18.1
Clay,25.768992149024694,11.700000000000001
Wirt,24.472033771108542,16.3
McDowell,23.068981661722276,9.9
Summers,22.001563974688683,11.9
Roane,21.198096846509628,10.6
Ritchie,20.931833685185687,10.4
Barbour,20.45231571815344,9.5
Jackson,20.38487287664939,9.5
Mingo,20.15064837588001,8.7
Wyoming,19.95710988157839,8.8
Logan,19.735558239371148,8.200000000000001
Hardy,19.049820696171395,10.2
Hampshire,18.21760967996358,9.9
Lincoln,17.644043798860267,9.2
Pocahontas,17.359325974542738,10
Fayette,16.827934947365193,6.4
Mason,16.315222719849558,8.200000000000001
Webster,16.304877524810536,9
Pendleton,16.136075258575495,9.9
Greenbrier,15.85369558543027,6.5
Taylor,15.532682692512854,8.200000000000001
Monroe,15.408720091167641,11.000000000000002
Raleigh,15.385696158578952,5.3
Lewis,15.158294040313589,7.1
Mercer,15.049176324380523,6.199999999999999
Braxton,14.04200518934467,8.4
Marshall,13.623329053076697,6.5
Upshur,13.297016954659718,6.3
Mineral,13.096164375527689,6.999999999999999
Doddridge,12.79284176728723,12.699999999999998
Marion,12.486738864639449,4.6
Preston,12.37600970276788,6.5
Randolph,12.074777522204016,5.699999999999999
Cabell,11.909286111963345,3.7000000000000006
Nicholas,11.650136712645395,5.699999999999999
Morgan,11.398235656999281,7.199999999999999
Putnam,11.057944870489797,5.800000000000001
Kanawha,11.02223289951019,2.5
Wayne,10.831624406242511,5.800000000000001
Harrison,10.179786325272257,4.2
Hancock,9.830454502458158,5.3
Wood,9.742505913187111,3.2999999999999994
Monongalia,9.257605001677954,4
Wetzel,8.854034642702391,5.9
Tyler,8.838950353095914,7.400000000000001
Tucker,8.838709220997675,5.3
Boone,8.798380928984765,4.300000000000001
Ohio,8.277300025053218,3.7000000000000006
Brooke,7.536424769350187,5
Grant,7.449967873802023,7.199999999999999
Berkeley,7.072529549976038,2.1
Gilmer,6.840790844470611,7.199999999999999
Jefferson,6.420784524696637,2.3
Pleasants,5.275380746489698,3
