county,pov,moe
Niobrara,34.374427080957965,22.900000000000002
Hot Springs,26.492186003058997,14.100000000000001
Johnson,23.725018197690634,11.1
Platte,23.137324672055737,11.199999999999998
Albany,21.65868077256064,8.7
Converse,21.01667398945165,8
Carbon,19.627945926315405,6.1000000000000005
Big Horn,19.434914962486747,6
Sweetwater,18.297646267735768,4.5
Fremont,17.385843829857986,3.2
Park,13.379185636978367,4.4
Sublette,12.290325676668482,7.3
Weston,10.649019666475345,7.7
Laramie,10.414339211087176,3
Natrona,8.721246644612524,2.9000000000000004
Goshen,8.649831709234084,5.1
Teton,7.812459694629506,5.800000000000001
Campbell,7.253303616118763,3
Lincoln,6.573558087343957,3.4999999999999996
Washakie,6.260675981975913,5.9
Sheridan,6.193252762795663,3.5999999999999996
Uinta,5.478349322320558,4.5
Crook,4.67379028758812,1.3999999999999997
