county,pov,moe
Worth,27.506804919609863,17.7
Carter,26.492186003058997,14.100000000000001
Wayne,23.919338738453952,12.6
Oregon,22.82535296722153,10
Dallas,22.181195923509296,10.2
Wright,22.08505821447383,10.1
Ozark,21.970765598618154,10.1
Reynolds,21.887080545759265,9.8
Putnam,21.274226963835112,16.1
Mercer,21.162820096699907,15.2
Pemiscot,21.064442600728505,7.1
Benton,20.854134570057635,8.3
Morgan,20.66361105326094,8.4
Mississippi,20.6309130911638,8.1
Iron,20.37447359203468,7.9
Washington,20.247827399193614,7.7
Linn,20.195015828386413,7.500000000000001
Vernon,20.188988944108928,7.6
Audrain,20.032477961839025,7.199999999999999
Miller,20.016278779520587,7.400000000000001
Laclede,19.7366255109235,6.999999999999999
Bates,19.596449452984178,6.599999999999999
Howell,19.481418045229727,6.4
Dent,19.457961813617004,6.599999999999999
Randolph,19.309138022840255,6.3
Barry,19.186152006039713,6
Texas,19.064699828598016,5.9
McDonald,18.905762100358782,5.699999999999999
Webster,18.836286532970522,5.699999999999999
Butler,18.713539008537737,5.4
Dunklin,18.664527800727893,5.3
Taney,18.191736850635326,4.7
Jasper,17.60853088979924,3.8
Barton,17.551304409077652,6.999999999999999
Bollinger,17.543441252249288,9.4
Cedar,17.372555660833328,8
Sullivan,17.04179443504093,7.1
St. Louis,17.01236841392405,2.9000000000000004
Chariton,16.936982760845165,6.4
Dade,16.6229960752053,7.1
Maries,16.429146566356188,9.3
Buchanan,16.332344993238998,4.1000000000000005
Pike,16.306489766413073,7.400000000000001
Caldwell,16.303974601491237,6.1000000000000005
Harrison,16.259691625050774,8.200000000000001
Stoddard,15.683742474862129,5.9
Monroe,15.573621912444827,7.199999999999999
Camden,15.368175507941254,4.7
Douglas,15.183011295266786,8.4
Clark,15.047684698466579,9.8
Atchison,14.936327066329738,6.7
St. Francois,14.934590216610538,4.4
Gasconade,14.855017813545759,6.4
Ripley,14.800175928372203,6
Polk,14.750685571137906,4.6
Shelby,14.522464202733602,7.3
Newton,14.313177725197116,4.300000000000001
Montgomery,14.297965862013285,5.800000000000001
Lewis,14.186708520273244,7.400000000000001
Lawrence,14.078796773723687,4.4
New Madrid,14.032236457819213,4.6
Daviess,14.002562084880523,5.500000000000001
Scott,13.786231642988875,3.8
Madison,13.782382941291429,7.8
Stone,13.399646380200764,5.2
Nodaway,13.194617061609847,4.8
Gentry,12.841564273833889,6
Henry,12.82572822703181,5.1
Howard,12.821159182811911,6.3
Hickory,12.816857536010193,8.7
Pettis,12.809502145202286,4.1000000000000005
Pulaski,12.709220740725888,4.1000000000000005
Warren,12.665500058616717,6.4
Cooper,12.533682907095752,4.6
Grundy,12.469041034044881,4.9
Crawford,12.23728922702287,5
Ray,11.881237801916514,4.300000000000001
Holt,11.780129591856245,5.9
Marion,11.740646813647041,4.9
Callaway,11.599427021947681,5.3
Cape Girardeau,11.580598871612253,3.4000000000000004
Ste. Genevieve,11.479300477072025,5.800000000000001
Jackson,11.365935355552038,1.3999999999999997
Knox,11.160601323889624,7.3
Phelps,10.882636852106147,4.2
Saline,10.825928521808596,4.4
Shannon,10.796264161407093,7.500000000000001
Perry,10.652493200923967,5.1
Moniteau,10.466529963297027,5.800000000000001
Boone,9.865469419525752,2.7
Macon,9.854285255018109,4.1000000000000005
Lincoln,9.753698514630175,3.2
St. Clair,9.70994806272623,4.4
Carroll,9.696077417205666,5.2
Clinton,9.640497440647753,5.599999999999999
Adair,9.286885583427395,4.300000000000001
Greene,8.775362490747563,1.7000000000000002
Cole,8.666491442252122,2.4
St. Louis,8.240060052628028,1
Ralls,8.233804156653344,4.7
Lafayette,8.108389217912658,3.2
Christian,7.986988890280429,3.2
Clay,7.755423789635977,2
Livingston,7.7228690884913025,3.9
Franklin,7.381370059711605,1.7999999999999998
DeKalb,7.275905893983602,4.1000000000000005
Jefferson,7.219659768715908,1.6
Platte,6.939732043627421,2.5
Cass,6.927400908358683,1.9
Osage,6.711948078506853,4.5
Johnson,6.614333614195213,2.5
Andrew,6.545314488920588,3
Schuyler,6.145602470697627,3.4000000000000004
St. Charles,5.478490706142576,0.8999999999999999
Scotland,5.253981503694104,3.2999999999999994
