county,pov,moe
Norton,32.68655576357307,21.7
Bath,28.36932909301657,21.800000000000004
King and Queen,25.399074602003235,10.4
Buena Vista,25.276110492897647,16.8
Lee,24.061087771799166,10.1
Covington,23.512222652119895,13.700000000000001
Northumberland,22.562962042764852,12.3
Franklin,21.840117992367063,11.3
Galax,21.70153856354407,11.1
Essex,21.554544071850295,10.8
Brunswick,21.180938298493228,10
Martinsville,20.73118496818119,9.2
Fredericksburg,20.683715468716418,9.1
Dickenson,20.537244463929323,9.1
Northampton,20.453446061899676,8.8
Petersburg,20.44809525781085,8.7
Buchanan,19.708920821068908,7.500000000000001
Hopewell,19.453574728724558,7.3
Danville,19.406492621369225,6.999999999999999
Charlotte,19.215178149432653,6.999999999999999
Mathews,18.824268160852974,15.000000000000002
Emporia,18.738956542523376,13.5
Surry,18.644146880532126,10.5
Mecklenburg,18.543530721635044,5.9
Grayson,18.44129036969447,8
Craig,18.17124601850034,12.699999999999998
Lancaster,17.770921695190882,8.5
Roanoke,17.695646443369924,4.5
Sussex,17.570705698943055,9.4
Wythe,17.491763629450563,6.9
Bristol,17.367929218361226,8.1
Greensville,17.34901183017271,12.5
Waynesboro,17.325596051830395,6.4
Richmond,17.280984272334603,3.7000000000000006
Wise,17.26778214004499,6.1000000000000005
Smyth,17.225238355143187,6.9
Radford,17.177985299600252,7.6
Westmoreland,17.115822359440212,7.9
Bland,16.996224631682637,12.3
Tazewell,16.929393431036374,5.2
Charlottesville,16.764800943395127,5.599999999999999
Winchester,16.54910457759656,5.699999999999999
Prince Edward,16.407933527370684,6.800000000000001
Highland,16.30764089208614,11.5
Accomack,16.20695005749255,5.3
Appomattox,16.19433666550839,5.9
Caroline,15.981546001717467,7.1
Portsmouth,15.969547014413843,4.300000000000001
Franklin,15.923159851091814,4.7
Carroll,15.822357465487313,6.7
Orange,15.750771430880818,5.699999999999999
Charles City,15.487488033325409,6.800000000000001
Scott,15.473594070458057,5.699999999999999
Buckingham,15.42501615364516,5.9
Henry,15.42458179738008,4.7
Lunenburg,15.36924929334395,6.9
Amelia,15.27922285087514,7.400000000000001
Pulaski,15.233429340537155,5.4
Warren,15.2144722559475,5.1
Rappahannock,15.189871412354206,8.8
Harrisonburg,15.141709913908949,4.9
Alleghany,15.110551961515462,7.199999999999999
Greene,15.083480328304633,5.9
Pittsylvania,15.05851012628,3.8
Russell,15.02522161003506,5.9
Shenandoah,14.982165204760156,5.1
Lynchburg,14.884650727686044,4.1000000000000005
Nottoway,14.813519523176907,5.2
Colonial Heights,14.788844465539633,6
Norfolk,14.736092333957481,2.7
Hampton,14.245173562630193,3.4000000000000004
Lexington,14.243409399001965,13.600000000000001
Halifax,14.094014508072403,4.300000000000001
Dinwiddie,14.073527829530752,5.2
Rockbridge,14.043292265828237,6.999999999999999
Salem,14.019192254067342,5.9
Nelson,13.86859224878082,7.1
Williamsburg,13.789075797633737,7.1
Isle of Wight,13.338242207872437,4.1000000000000005
Amherst,13.225349223938718,4.7
Newport News,13.223403293980605,2.7999999999999994
Giles,13.101579912741466,5.4
Montgomery,13.082235840035707,3.5999999999999996
Bedford,12.940442382468472,4.7
King William,12.72666923395835,5.1
Augusta,12.680190121815393,3.9
Louisa,12.361407436302171,4.1000000000000005
Manassas Park,12.287454900554254,6.9
Gloucester,12.254074390378953,4.9
Washington,12.186074021642545,3.0999999999999996
Alexandria,11.792292522419546,2.9000000000000004
Patrick,11.693809038896863,5.2
Southampton,11.690855163846676,4.4
Suffolk,11.558519899479041,3
Floyd,11.476129610463525,5.3
Middlesex,11.443511242428833,4.300000000000001
Prince George,11.439276484428373,4
Cumberland,11.29950441830372,6
Madison,11.161035571254493,6.599999999999999
Fairfax,11.000101797859422,4.4
Campbell,10.885997550974768,3
Staunton,10.450644457896006,3.8
Henrico,10.300851191929285,1.7000000000000002
King George,10.141442767821605,4
James City,10.106368009971217,2.7
Page,10.022385109265757,3.7000000000000006
Culpeper,9.974867080395148,3.9
Spotsylvania,9.839890332874592,2.4
Rockingham,9.70480024794631,2.4
Fluvanna,9.496554793234008,5.2
Virginia Beach,9.486779972752421,1.3999999999999997
Chesapeake,9.437686848808797,1.7999999999999998
Frederick,9.143341297369764,2
Botetourt,8.958159175098256,3.5999999999999996
Albemarle,8.840933473882483,2.3
Poquoson,8.786670942727524,5.1
Roanoke,8.411966806721392,2.3
Chesterfield,8.31081152606383,1.1
Prince William,8.110219031626885,1.2
Fauquier,8.04691935071087,2.1
Powhatan,7.988896790170753,3.8
Clarke,7.796631530769886,4.2
Fairfax,7.7550218745345,0.6999999999999998
Hanover,7.683109719600294,1.6
Arlington,7.5779841525132134,1.6
Manassas,7.4726281601459315,2.9000000000000004
Stafford,7.467424117419682,1.6
York,6.810521984576183,1.7000000000000002
New Kent,6.618525236300965,2.6
Loudoun,6.489564716246783,0.8
Goochland,6.309121272324656,2.4
Richmond,6.122508323490824,3.2
Falls Church,5.301738107241529,1.2
