county,pov,moe
Adams,13.9,1.4
Alamosa,15.2,7.6
Arapahoe,10.4,0.9
Archuleta,8.4,5.0
Baca,25.1,9.1
Bent,34.8,13.5
Boulder,6.8,1.1
Broomfield,5.6,1.9
Chaffee,10.1,4.9
Cheyenne,13.9,8.9
Clear Creek,5.1,4.9
Conejos,18.5,6.1
Costilla,24.1,12.9
Crowley,15.7,6.5
Custer,5.2,5.1
Delta,22.6,6.2
Denver,16.0,1.5
Dolores,11.5,12.2
Douglas,2.2,0.4
Eagle,9.5,4.7
Elbert,4.1,2.0
El Paso,11.4,1.3
Fremont,19.5,4.5
Garfield,8.8,3.1
Gilpin,14.7,18.5
Grand,6.1,5.3
Gunnison,7.6,7.9
Hinsdale,0.0,30.1
Huerfano,39.2,15.8
Jackson,47.9,24.3
Jefferson,7.0,1.1
Kiowa,14.2,7.7
Kit Carson,11.0,4.7
Lake,7.5,7.6
La Plata,16.7,3.4
Larimer,8.8,2.0
Las Animas,24.0,9.2
Lincoln,8.8,5.7
Logan,15.1,7.4
Mesa,14.3,3.2
Mineral,8.4,10.7
Moffat,14.3,6.5
Montezuma,13.7,5.8
Montrose,15.2,4.9
Morgan,16.0,4.9
Otero,38.9,6.8
Ouray,1.6,2.1
Park,9.9,7.3
Phillips,14.0,8.8
Pitkin,6.9,5.9
Prowers,19.4,7.8
Pueblo,22.3,3.0
Rio Blanco,17.4,9.4
Rio Grande,10.8,8.0
Routt,5.4,2.8
Saguache,22.1,11.9
San Juan,54.7,31.6
San Miguel,6.7,4.9
Sedgwick,20.7,11.7
Summit,5.9,4.8
Teller,5.9,3.8
Washington,10.5,5.1
Weld,11.8,1.4
Yuma,19.7,9.2
