county,pov,moe
Ada,9.5,1.2
Adams,13.8,9.1
Bannock,15.0,3.0
Bear Lake,13.4,5.4
Benewah,17.8,7.0
Bingham,12.1,3.1
Blaine,11.6,6.2
Boise,18.1,10.9
Bonner,15.4,3.9
Bonneville,11.8,2.4
Boundary,25.3,10.9
Butte,32.4,13.8
Camas,9.4,10.5
Canyon,12.1,1.7
Caribou,6.9,3.9
Cassia,12.9,4.3
Clark,7.6,9.6
Clearwater,14.1,6.0
Custer,16.7,14.8
Elmore,13.0,3.9
Franklin,10.0,5.1
Fremont,15.5,5.3
Gem,18.3,5.7
Gooding,18.8,7.2
Idaho,8.8,4.4
Jefferson,10.9,3.2
Jerome,21.8,6.5
Kootenai,11.7,2.3
Latah,11.2,4.0
Lemhi,10.4,5.1
Lewis,25.4,4.9
Lincoln,19.3,10.8
Madison,16.6,4.4
Minidoka,20.4,6.5
Nez Perce,17.8,4.8
Oneida,14.1,7.0
Owyhee,21.5,6.3
Payette,11.8,5.3
Power,12.7,9.0
Shoshone,18.9,6.0
Teton,10.5,6.8
Twin Falls,18.1,4.3
Valley,14.4,12.0
Washington,21.7,8.2
