county,pov,moe
Adams,13.3,11.5
Barnes,16.9,7.5
Benson,37.0,7.3
Billings,0.0,14.6
Bottineau,10.8,4.2
Bowman,16.6,11.2
Burke,9.8,9.3
Burleigh,8.7,2.2
Cass,11.8,2.2
Cavalier,4.2,4.6
Dickey,8.1,5.1
Divide,8.9,6.8
Dunn,10.7,5.4
Eddy,10.2,6.8
Emmons,3.0,2.5
Foster,5.8,4.5
Golden Valley,28.5,10.9
Grand Forks,11.4,2.6
Grant,23.5,11.2
Griggs,0.6,1.1
Hettinger,9.1,7.2
Kidder,14.1,8.8
LaMoure,17.6,8.4
Logan,7.6,5.6
McHenry,10.7,4.2
McIntosh,15.8,11.0
McKenzie,18.4,4.8
McLean,7.6,3.0
Mercer,14.1,7.8
Morton,9.4,4.7
Mountrail,13.8,5.7
Nelson,13.7,5.2
Oliver,16.6,9.6
Pembina,6.1,2.7
Pierce,14.5,8.8
Ramsey,25.6,8.8
Ransom,16.1,8.9
Renville,5.3,3.7
Richland,8.9,3.5
Rolette,30.2,6.8
Sargent,5.8,3.6
Sheridan,4.6,5.9
Sioux,49.6,8.7
Slope,1.2,4.0
Stark,6.9,2.5
Steele,19.8,10.4
Stutsman,8.8,4.3
Towner,12.0,8.4
Traill,3.9,2.3
Walsh,8.3,2.9
Ward,5.5,1.8
Wells,16.7,8.1
Williams,7.9,3.7
