county,pov,moe
Albany,15.8,1.8
Allegany,24.8,3.5
Bronx,34.9,1.4
Broome,25.1,2.9
Cattaraugus,24.0,3.1
Cayuga,17.5,3.0
Chautauqua,25.0,2.7
Chemung,19.9,3.1
Chenango,17.2,3.1
Clinton,16.0,3.4
Columbia,14.0,3.8
Cortland,11.7,2.4
Delaware,21.0,4.4
Dutchess,9.1,1.3
Erie,19.0,1.1
Essex,12.7,3.3
Franklin,28.0,6.1
Fulton,16.6,4.3
Genesee,9.6,2.8
Greene,11.2,3.8
Hamilton,11.1,5.3
Herkimer,16.5,3.1
Jefferson,16.2,2.8
Kings,25.8,0.8
Lewis,18.9,3.3
Livingston,15.4,4.1
Madison,12.5,2.8
Monroe,19.1,1.2
Montgomery,21.4,3.8
Nassau,6.0,0.6
New York,19.6,1.4
Niagara,18.4,2.1
Oneida,20.4,2.2
Onondaga,21.1,1.5
Ontario,11.0,2.2
Orange,19.6,1.8
Orleans,16.6,3.7
Oswego,28.6,3.1
Otsego,15.8,3.3
Putnam,5.8,1.7
Queens,14.4,0.7
Rensselaer,16.6,2.5
Richmond,13.6,1.4
Rockland,25.8,1.9
St. Lawrence,23.4,3.7
Saratoga,7.0,1.4
Schenectady,15.3,2.6
Schoharie,10.9,2.3
Schuyler,24.4,6.3
Seneca,15.8,4.3
Steuben,17.9,2.8
Suffolk,7.5,0.6
Sullivan,22.6,3.7
Tioga,11.7,3.4
Tompkins,11.3,2.8
Ulster,15.6,2.6
Warren,8.2,2.2
Washington,13.9,3.8
Wayne,14.0,2.9
Westchester,9.8,0.9
Wyoming,13.9,4.1
Yates,23.0,5.3
