county,pov,moe
Aurora,6.4,3.8
Beadle,8.7,4.5
Bennett,38.3,17.8
Bon Homme,23.1,11.0
Brookings,5.9,3.9
Brown,13.2,4.4
Brule,19.4,7.7
Buffalo,38.2,9.6
Butte,3.9,3.1
Campbell,2.3,3.7
Charles Mix,30.2,8.0
Clark,5.3,4.0
Clay,14.5,6.3
Codington,11.5,3.2
Corson,58.2,6.6
Custer,11.3,7.0
Davison,17.0,6.8
Day,21.5,7.1
Deuel,4.9,2.8
Dewey,40.3,7.3
Douglas,26.6,15.1
Edmunds,9.7,7.8
Fall River,29.2,11.6
Faulk,33.6,15.2
Grant,10.5,6.2
Gregory,16.1,5.4
Haakon,11.6,8.3
Hamlin,10.8,6.0
Hand,3.3,4.3
Hanson,10.6,7.7
Harding,1.3,1.9
Hughes,11.4,5.2
Hutchinson,10.9,9.0
Hyde,8.5,6.7
Jackson,46.2,13.7
Jerauld,10.7,7.2
Jones,33.3,16.9
Kingsbury,7.6,4.1
Lake,14.8,7.1
Lawrence,10.7,4.5
Lincoln,8.4,2.7
Lyman,35.6,8.3
McCook,8.2,4.4
McPherson,7.0,4.1
Marshall,8.0,4.8
Meade,6.3,3.5
Mellette,63.3,13.6
Miner,14.1,9.8
Minnehaha,10.0,1.8
Moody,12.7,4.1
Oglala Lakota,60.8,8.8
Pennington,17.2,2.9
Perkins,16.2,8.3
Potter,14.3,10.1
Roberts,33.9,8.2
Sanborn,5.8,4.2
Spink,14.6,5.3
Stanley,2.1,4.5
Sully,5.9,7.7
Todd,60.8,6.1
Tripp,43.0,9.1
Turner,12.2,5.2
Union,8.4,3.0
Walworth,16.6,9.1
Yankton,8.2,4.4
Ziebach,49.1,7.4
