county,pov,moe
Kusilvak Census Area,30.026022131215115,5.2
Lake and Peninsula Borough,23.027873720972874,10.3
Wrangell,22.44796615820212,9.8
Denali Borough,21.218165918734705,13.100000000000001
Yakutat,19.955982164054614,10.899999999999999
Yukon-Koyukuk Census Area,19.8721048799048,5.4
Southeast Fairbanks Census Area,19.21211427158937,7.000000000000001
Aleutians East Borough,18.958044495891208,6.6000000000000005
North Slope Borough,18.160249894308915,6.1000000000000005
Bethel Census Area,18.02709815456616,3
Bristol Bay Borough,17.97903461415511,7.000000000000001
Prince of Wales-Hyder Census Area,17.95496830393607,4.7
Northwest Arctic Borough,17.679103284197257,3.4000000000000004
Nome Census Area,17.669526235321467,3.5000000000000004
Aleutians West Census Area,17.65733473070315,5.5
Dillingham Census Area,17.341220585934693,3.8
Sitka,17.260299831022817,4.9
Kenai Peninsula Borough,17.04528446604106,3.6000000000000005
Hoonah-Angoon Census Area,17.01218097861703,4.3
Skagway Municipality,16.902294593457114,4.9
Petersburg Borough,16.686689620017948,4.1
Ketchikan Gateway Borough,16.654662558908413,3.6000000000000005
Kodiak Island Borough,16.34901292911225,3.0999999999999996
Juneau,16.052053491968714,2.5
Anchorage Municipality,15.885113136434208,1.8000000000000003
Matanuska-Susitna Borough,15.850690731762052,1.7000000000000002
Fairbanks North Star Borough,15.630950812323697,1.6
Haines Borough,15.41464716607904,1.3
